P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
101302.4997,0.005420321,0.699264468,0.479405047,"NH3: 0.520594953, CH4: 0.479405047","O2: 0.21, N2: 0.79",0.3,297.8730477,0.257591194,527.0820412,50803.39921,2102.450448,5.430318806,75.67473257,173010.1297,8986.68935,5742.301301,200.5172204,274.2466987,181.0855413,1.033314136,15.13127524,0.500546213,0.517912237,-0.500691686,7.566021536,0.393534172,7.599870363,21.96699734,15.14399104,-0.171681805,15.13046622,-2.523612597,0.320006197,3.811429395,0.392249236
101213.6183,0.00499664,0.749944071,0.479331302,"NH3: 0.520668697666667, CH4: 0.479331302333333","O2: 0.21, N2: 0.79",0.3,297.8775868,0.301912406,544.8503656,54065.32242,2191.169885,8.683278017,75.74674081,183143.0014,9030.949361,6630.604675,267.446396,310.2747722,214.6942783,-0.081659928,15.14864093,0.53724745,0.486950283,-0.429010944,7.572425078,0.513911636,7.609848974,25.47350914,15.15995542,-0.263013826,15.14296465,-2.479407694,0.319279647,3.473343916,0.390097057
101213.6183,0.004563643,0.799863962,0.479469256,"NH3: 0.520530744333333, CH4: 0.479469255666667","O2: 0.21, N2: 0.79",0.3,297.7131599,0.35513521,560.4930005,57099.46623,2353.673508,17.0752712,76.07754167,191754.4806,8741.324636,7231.289519,302.5634164,283.1704216,163.6957513,-0.160921965,15.19770866,0.540374905,0.42567057,-0.519889778,7.594910472,0.301108649,7.618132879,27.98288113,15.21006076,-0.179062695,15.18910118,-2.43102686,0.319344279,2.84703516,0.388196683
101213.6183,0.00422944,0.849582705,0.479427727,"NH3: 0.520572273333333, CH4: 0.479427726666667","O2: 0.21, N2: 0.79",0.3,297.698572,0.40994638,579.1445064,60122.08253,2730.669722,40.53002844,76.48071639,205297.3837,9681.113919,7682.568637,335.1242718,241.8102103,129.0845531,-0.04066407,15.20766786,0.630735305,0.435939994,-0.61518809,7.61069423,0.365009508,7.62485657,29.4421384,15.24030455,-0.168139126,15.20052738,-2.360001827,0.334148656,2.008129119,0.387713082
101458.042,0.002262119,0.89995353,0.479391035,"NH3: 0.520608965, CH4: 0.479391035","O2: 0.21, N2: 0.79",0.3,297.6745556,0.458292383,583.1618148,63753.24078,2710.642698,113.5688727,87.03805273,219538.4021,16607.81773,7778.935431,388.5853473,112.5601067,18.29582028,0.840263255,17.37395498,0.598687173,0.482963598,-0.723111107,8.691640871,-0.065688399,8.686035274,31.38777097,17.43094447,0.071186452,17.37189103,-3.366144321,0.385731188,1.225598062,0.439472962
101413.6013,0.007434671,0.95059923,0.479301962,"NH3: 0.520698037666667, CH4: 0.479301962333333","O2: 0.21, N2: 0.79",0.3,298.0037758,0.494703942,601.1493784,63539.13867,2854.495109,179.1012747,90.77157245,216969.7136,12970.85093,7843.627833,392.8380645,85.09932775,21.94301217,0.560256073,17.87905139,3.830074491,3.968287426,-0.86420552,8.92445471,0.044713026,8.937329991,35.86713045,17.92479858,0.066645157,17.8431494,-3.674724567,0.402547611,0.613773647,0.449780395
101391.381,0.007573397,1.000359633,0.479198173,"NH3: 0.520801827, CH4: 0.479198173","O2: 0.21, N2: 0.79",0.3,298.0470669,0.514780965,614.9192732,64622.17784,2695.487854,960.4375135,101.9325259,225642.4773,12989.15366,7586.482172,375.557472,22.34088961,17.33031594,7.695101439,17.16280211,2.677014373,1.505121498,-0.700489434,8.561317356,-0.024440301,8.566631828,20.77572597,17.1474532,0.116216032,17.12078269,-3.258711224,0.377570785,0.26263219,0.430749752
101391.381,0.007952144,1.048214494,0.479348616,"NH3: 0.52065138375, CH4: 0.47934861625","O2: 0.21, N2: 0.79",0.3,298.0154963,0.516647552,618.1457101,61787.10681,2606.698857,6421.161822,821.2481848,225897.3514,11673.41994,6976.256522,369.3815776,2.769530821,16.36222701,9.795312264,16.35413485,2.793967403,0.810871934,-0.578077182,8.176313502,0.16222308,8.17693178,2.571072434,16.34866947,0.085547232,16.34829989,-3.065225194,0.359338367,0.139707029,0.411075475
101391.381,0.008712397,1.099010816,0.479408164,"NH3: 0.52059183625, CH4: 0.47940816375","O2: 0.21, N2: 0.79",0.3,298.063669,0.498017922,612.0418972,56427.11468,2200.837215,13320.52542,628.6942282,225857.8515,11460.35926,6118.593572,280.5534521,3.400404333,16.5406264,7.61230895,16.52939369,3.135054371,0.73090363,-0.767718428,8.263439864,0.166096727,8.263484821,2.309989088,16.52227697,0.100717779,16.52203562,-2.941994412,0.350680303,0.118097054,0.414956963
101308.0548,0.004686518,1.149741164,0.47937822,"NH3: 0.52062178, CH4: 0.47937822","O2: 0.21, N2: 0.79",0.3,296.9069639,0.463241538,623.5311782,47044.43012,1172.545901,25408.5685,515.34951,230976.8263,11947.85769,3136.948107,81.25238751,21.87646156,41.85448299,4.519614862,11.08185811,2.844012485,1.372248318,-0.422880349,5.546147798,0.78954792,5.608871685,2.360239033,11.08016877,-0.046718915,11.08016606,1.618003795,0.222241655,-0.759486282,0.279800741
101502.4827,0.003464353,1.200427585,0.479465463,"NH3: 0.520534537333333, CH4: 0.479465462666667","O2: 0.21, N2: 0.79",0.3,296.6981722,0.41372275,614.4157131,43909.66424,1497.739957,30088.1271,796.8003566,233428.4801,21659.37551,1204.338831,65.63667937,1.411986899,11.46572746,3.518734089,11.43212191,9.416549153,0.906611925,-0.360793909,5.729711203,10.91826339,5.720133788,1.131280248,11.42783718,0.077794683,11.42783538,1.827979544,0.228592395,-1.149527764,0.286056634
101224.7285,0.009223121,1.249398118,0.479366306,"NH3: 0.520633694, CH4: 0.479366306","O2: 0.21, N2: 0.79",0.3,297.9628061,0.355782345,599.9279529,46239.46827,237.0095712,36457.17624,54.62433862,223530.3386,3526.106748,124.2698359,5.936451495,1.09078234,10.00260104,6.995376808,10.00473944,651.817666,53.75874171,0.447401774,5.00273779,430.4166945,22.36766902,11.02393405,10,1.252917294,10,3.708574659,0.2,-0.204148672,0.25
101391.381,0.004209537,1.249958625,0.479478209,"NH3: 0.520521790666667, CH4: 0.479478209333333","O2: 0.21, N2: 0.79",0.3,296.5217563,0.356712763,604.0192942,46747.84727,1432.79092,35738.22176,795.5514074,219441.9037,7348.357023,112.4431638,7.479320085,1.970410815,13.01004825,7.133326019,13.00171437,748.0232288,69.7395293,-0.090932961,6.512848002,460.8450094,15.01744055,10.48129656,12.99591256,1.490006508,12.99437427,1.719230098,0.261104896,-1.836037279,0.329680996