phi Er,phi,P,U,fuel,oxidizer,blend,T_in,T,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er
0,0.937,100564.785,0.195,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,296.083,468.311,0.252601835,107.955633,318288.0927,7766.472012,4684.186847,111.1272225,20.09135387,4.319705198,2.426745793,2.159155848,16.15189393,0.441284821,0.003035669,0.215911267,0.518909373,0.269904879
0.001,0.988,100564.785,0.178,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,293.511,465.951,9.977574751,100,317997.6645,7000,3998.209701,100,4.914086379,4,3.986980066,2,5.149703987,0.4,0.72322691,0.2,0.278230565,0.25
0,1.038,100564.785,0.204,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,294.153,468.958,35.54189369,100,304786.1462,7000.02,2348.953987,100,3.849358804,4,2.547421927,2,4.294713953,0.4,2.40508505,0.2,0.226824252,0.25
0,1.087,100564.785,0.204,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,294.54,468.884,50.00853821,100,297744.6645,7000.04,972.6902326,100,3.844950166,4,1.661086379,2,7.201148173,0.4,3.635595017,0.2,0.185457807,0.25
0,1.137,100564.785,0.199,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,294.874,470.048,61.03843854,100,292691.3854,7000.06,85.73248505,10,4.56266113,4,4.603960133,2,492.6600997,10,4.747937874,0.2,0.165342857,0.25
0,1.187,100564.785,0.188,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,294.874,470.048,64.02807309,100,305275.9203,7000.08,15.98246512,10,7.484468439,4,3.303930233,2,2719.429003,100,5.367113289,0.2,0.142089037,0.25
0,1.238,100564.785,0.189,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,294.874,470.048,72.94241268,150.0663987,321073.2273,16299.72039,4.384493374,15.00493331,10.95658021,6.016641649,1.756725367,3.00156846,7419.327005,324.7695539,6.660890388,0.396126451,0.176502989,0.375161778
0,1.279,100564.785,0.187,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,295.473,471.171,72.38293125,296.0842456,337306.7747,35034.26308,-0.33353144,29.60223153,6.42359287,11.85310173,0.957764531,5.920987004,11590.82491,1014.847203,6.891451505,0.826811383,0.199524852,0.740244083
0,1.327,100564.785,0.194,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,295.687,477.738,85.46528686,606.1254749,414302.1364,86574.66249,-5.277087612,60.60017408,6.197329399,24.26329841,0.347048353,12.11867467,23878.08517,4391.812882,8.726629469,1.998939124,0.423372821,1.516775805
0,1.371,100564.785,0.136,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,295.88,479.76,89.70218632,836.4045321,451736.6282,129475.7235,-11.91470006,83.66447849,8.122823297,33.50801778,-0.51343152,16.72231648,37759.79778,9689.920337,9.805014283,3.013325043,0.571657832,2.095328506
0,1.378,100564.785,0.188,"NH3:0.8, H2:0.15, N2:0.05","O2: 0.21, N2: 0.79",decomposed_0.2,295.93,480.325,91.533725,844.4921578,457908.4677,132194.2975,-11.2613077,84.46620545,7.860740033,33.82741503,-0.526212557,16.88377234,39387.53323,10206.49438,10.16871341,3.121900645,0.536317252,2.114942974