,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,NO,NH3,H2,O2,H,O,OH,HO2,H2O,H2O2,NH2,NH,N,NNH,NH2OH,H2NO,HNOH,HNO,HON,NO2,HONO,HNO2,NO3,HONO2,N2O,N2H4,N2H3,N2H2,H2NN,AR,HE,N2
0,0.6451290048,938,293.8851239669,518.4333333333,101325.0,0.2668492837,0.3,,,0.006078237182927205,6.356424550136223e-13,6.218783384093709e-06,0.05296049846269878,1.8432435107874307e-16,2.4357517729343206e-13,2.779758613845885e-12,4.390457745718107e-15,0.22235734455345074,7.748959503790177e-08,1.0340042125181258e-16,1.2105906079884094e-16,1.1945549562010314e-16,1.2555777282491847e-16,3.116409605762002e-16,8.480208539174522e-16,2.247609351893247e-16,2.6047012772818825e-10,2.2647986933683607e-07,0.0001973692961834588,2.5451300846798653e-05,4.761766117545961e-09,3.9677021532031297e-16,4.2407005991930933e-07,3.298125410015956e-05,2.2427877044724853e-16,2.231972384511592e-16,2.324264786038935e-16,1.6263093986614186e-16,2.4326921825739384e-16,5.16665872460662e-16,0.7183411661009806
0,0.7002137561,940,294.1599173554,494.6993112948,101325.0,0.2818359501,0.3,,,0.006825377102882641,1.3917993187264476e-13,8.357313765307708e-06,0.043388363914226125,-5.32254670317217e-17,4.390579992966689e-13,2.6165521566554227e-12,3.9236951135294e-15,0.23515824061651608,9.774248694524289e-08,-1.4514470274808386e-16,-1.2966959541662996e-17,-4.892520188919809e-17,7.952219734916682e-17,-1.693587107748337e-16,9.981434280282525e-16,-2.232755465359584e-16,6.80157970384328e-10,2.0373340670740992e-07,0.00020773083714580154,3.081544926694768e-05,6.141251185486156e-09,2.354320885580834e-16,5.4897770907336e-07,5.789573947421173e-07,-2.2202051322849166e-16,-2.252151753132699e-16,-2.4128399971891123e-16,-1.2673806234174604e-16,-6.204278754761845e-15,-1.9465860904229666e-15,0.7143796785306
0,0.7501325861,965,294.4524793388,504.3887052342,101325.0,0.2999479385,0.3,,,0.007216666509731504,2.859031581989323e-13,1.3814355536371923e-05,0.034413461290988136,2.704991732901297e-15,2.3401823906180024e-12,1.498847985549627e-11,1.5606875194499598e-14,0.2473533470956109,1.3248605592314796e-07,-4.552637365257022e-17,-6.535493621020013e-17,-6.009116382788218e-17,-8.150544885596152e-17,1.7040875465257535e-17,3.71105310455458e-15,-1.1140104280791095e-18,1.8328746418805654e-09,1.865800589650461e-07,0.00021790947769954864,3.641040340573463e-05,7.597425119210661e-09,4.594923879881563e-16,7.40026998406126e-07,2.471928764286634e-07,-4.5564517740838853e-17,-4.6049210270203513e-17,-4.2498083026466614e-17,-5.000713252744601e-17,-1.4061970485840321e-15,-1.3354241128056767e-15,0.7107470751331044
0,0.7992536035,985,296.5227272727,512.2807162534,101325.0,0.3048324033,0.3,,,0.007383716824396151,7.035664219398298e-13,2.4202693815947677e-05,0.02584828514368905,3.091970918477122e-14,1.027907507276872e-11,6.350467665455709e-11,6.464557169906124e-14,0.2590712089859942,1.7760979202090718e-07,-1.0114227103854882e-15,-7.984641705883903e-16,-8.432735783921626e-16,-7.088969010457833e-16,-5.159235210145638e-16,1.4195768171658003e-14,-6.437895411296022e-16,5.0879340079938936e-09,1.7262754155612274e-07,0.00021471518222735035,4.1839500291818725e-05,9.044212022413646e-09,1.0824758495795927e-15,9.38401846031591e-07,2.3530572712735007e-07,-6.480472406070262e-16,-6.518172274581073e-16,-7.338487005343339e-16,-9.594948604523248e-16,-1.3989941347459433e-15,-8.150415262069187e-16,0.7074144935179443
0,0.8499536174,1034,296.5123966942,524.6681818182,101325.0,0.3411800701,0.3,,,0.007291510394115115,3.3164247402180913e-12,6.0994227365742836e-05,0.016632569750239877,1.606949661011852e-12,1.1371157485856477e-10,5.444303048546578e-10,1.093549350195248e-12,0.2717388615715039,2.902108630883559e-07,7.264006753918635e-15,7.896620961633713e-15,7.69797150763617e-15,8.627587973080034e-15,6.177871883273992e-15,2.249560742426204e-13,8.612680189024811e-15,2.6627852394194603e-08,1.5956191066739267e-07,0.0001811567985369077,5.1200989262552156e-05,1.1567648350188575e-08,2.3853711415810415e-14,1.2528156296771835e-06,2.574350690060366e-07,5.4709365583591405e-15,5.354149094858388e-15,5.5688064717832695e-15,5.2030336349680785e-15,-2.1547018031285028e-14,-2.0990611747207766e-14,0.7040417073855697
0,0.8501729796,1030,294.7871900826,523.6608815427,101325.0,0.3394528477,0.3,,,0.007268660269854966,3.3194020400738647e-12,6.108024261347855e-05,0.016593971873569986,1.5465080947383059e-12,1.1049457429781781e-10,5.220737912592213e-10,1.0527118187453866e-12,0.27178952976708376,2.9016726786720943e-07,-1.1428735490423878e-16,-7.293855258368949e-17,-8.067813271380467e-17,-5.4884523457839666e-17,8.528157876542865e-16,2.2091956756155288e-13,2.1854647838835837e-15,2.66692272452354e-08,1.5987496029041306e-07,0.0001806220204910484,5.1098526557458014e-05,1.1536473178578234e-08,1.501346728779492e-14,1.2506232490967535e-06,2.5772883372422267e-07,-1.7783433066667444e-16,-1.747143979590776e-16,-1.731291710916449e-16,-1.9873612956105906e-16,-2.696823591432221e-15,-2.502834135261997e-15,0.7040530400610981
0,0.9003379917,1041,296.5417355372,537.370661157,101325.0,0.3723374876,0.3,,,0.0069317101882363326,3.3809713830399986e-11,0.00022232660860155773,0.007684999405675387,7.745868713868305e-10,2.1369407795245225e-09,7.693100468050612e-09,1.8159775612266587e-10,0.2842130441562727,4.714670097952156e-07,6.779647930251052e-17,7.469249472393285e-16,6.364328165993198e-16,9.38837607482825e-16,1.7861317517086748e-14,2.9427877834154176e-11,5.032201156460417e-13,3.8328278966538687e-07,1.4948974868575712e-07,8.173978505046757e-05,6.618801763918865e-05,1.5377409949465585e-08,1.353397313688603e-13,1.1146220450549707e-06,3.2092161051385313e-07,-6.945210702131766e-16,-6.014385332008627e-16,-7.863924131667823e-16,-8.002915004471676e-16,-4.777469144083157e-15,-5.375232235994609e-15,0.7007975258278015
0,0.95007358,1004,295.0202479339,550.9841597796,101325.0,0.3987996189,0.3,,,0.006155724265175667,7.834634919932348e-09,0.0022160693134071732,0.000656825468999817,3.28366492158462e-06,1.0555431542055938e-08,4.936985061780043e-07,6.598767500999182e-08,0.2936143949538278,1.2534554705875279e-07,2.2248348761852605e-11,4.378651401212825e-14,1.2401024990591697e-14,1.086265514206585e-13,7.07700653436129e-12,5.836930279455521e-09,5.237085350361827e-10,9.547527478443016e-06,1.4220671690690256e-07,4.209507147721731e-06,7.831440291104087e-05,1.621803499014907e-08,5.581998501304403e-14,1.1396366360794009e-07,2.3069954055273503e-06,9.226835774405489e-15,8.049775593105178e-14,1.3473502493600155e-14,1.5155464225341643e-14,2.46685591468358e-15,2.739405779358037e-15,0.6972583417002067
0,0.9994480409,991,296.4640495868,565.4217630854,101325.0,0.4256860549,0.3,,,0.005064014648670607,6.895788649091038e-08,0.010791909426754964,1.8795304871950814e-05,1.0271527209529773e-05,7.419561377514061e-10,4.3633060047044174e-08,6.563448428307819e-09,0.2920751969734627,5.586910314041398e-09,5.1915121057685974e-11,1.9243147205514512e-13,3.960740736819335e-15,3.682674974798175e-13,3.8222111370507755e-12,5.487684103384267e-09,5.952281564051315e-10,9.407453242211147e-06,1.3655991217279766e-07,9.918091211783106e-08,9.958007211510775e-06,2.293290609053219e-09,2.60910419684425e-15,2.8499331796458424e-10,2.6388917346082287e-06,9.140433355213301e-17,5.253204713784915e-13,2.6335633051033813e-15,2.1759874951666707e-15,-1.8299157440131224e-14,-1.8197479212150982e-14,0.6920174378247619
0,1.0003341351,993,294.1818181818,542.9409090909,101325.0,0.4244883971,0.3,,,0.005023091709310704,7.750825798452565e-08,0.010918832102619453,1.7757358960356752e-05,9.07258121211919e-06,5.147880050582771e-10,3.6078730455097913e-08,5.923692786809197e-09,0.29178121445647986,5.455430061204278e-09,3.8193802645465127e-11,1.041370384568497e-13,4.002468085514562e-15,2.591911509899262e-13,3.9181381410656455e-12,6.262559363647882e-09,6.239829913720254e-10,1.0100182826467244e-05,1.3689566105346583e-07,1.0064272015850308e-07,9.92576897593223e-06,2.269925453424166e-09,3.4309142990837617e-15,2.8146150979916555e-10,2.6588954102801927e-06,3.5473391575922048e-15,5.472969946764829e-13,3.4422960298811954e-15,4.5896387494295885e-15,7.76159762613334e-15,6.0240886239780195e-15,0.6922269744439398
0,1.0499704473,974,296.3446280992,578.5548209366,101325.0,0.4452224344,0.3,,,0.003692629088695477,1.788405446138915e-07,0.02118167673131312,2.579920117469647e-06,1.747965660435874e-05,2.594117429862053e-10,1.5099599378241217e-08,1.9023068243517237e-09,0.2891304783000842,1.4767410492046486e-09,5.5847624147760046e-11,4.621350833686408e-13,9.796420274836409e-15,6.954497475387394e-13,3.6792578711063835e-12,3.59723185372101e-09,4.598277538463835e-10,6.985459990669764e-06,1.3664339701639377e-07,1.3136723829681889e-08,3.7277153142040987e-06,8.816137685694939e-10,-1.516960811506493e-15,2.6490860940089932e-11,2.0271500846923656e-06,1.5626614683024133e-15,1.0251718953707254e-12,-1.6118403177448643e-15,7.775865139880049e-16,-1.3543096500918255e-16,5.223806747710904e-16,0.6859620635921883
0,1.0502380028,971,295.0607438017,576.852892562,101325.0,0.4436601141,0.3,,,0.0036735465493236887,1.8044450994483232e-07,0.021239944039530417,2.544162408906228e-06,1.7369728521645038e-05,2.5231052247206433e-10,1.4738381409958734e-08,1.8834338917761567e-09,0.28910319132346785,1.4650248483999224e-09,5.438506707109501e-11,4.439972272541917e-13,9.568271640731e-15,6.804675061001103e-13,3.681176334304409e-12,3.6174081455599398e-09,4.6008464411548206e-10,6.998362900172121e-06,1.3685083640872863e-07,1.3019736499368478e-08,3.7013500528798694e-06,8.746802402969448e-10,-9.804658547630559e-16,2.6177944567869442e-11,2.019828134998322e-06,9.715486083325427e-16,1.0266139432033306e-12,-9.530285705160828e-16,7.618500155240139e-16,-1.6923450494469904e-15,-1.2895808350951431e-15,0.6859503309628513
0,1.1004531704,857,295.0657024793,581.5351239669,101325.0,0.4429643273,0.3,,,0.0023220476698547063,3.3917421197859264e-07,0.0316978539688287,6.371975344409536e-07,3.175131961093034e-05,2.374985656557601e-10,1.2145219014094088e-08,1.1415006734703768e-09,0.2859790836995875,6.331753849176421e-10,4.4044877408689114e-11,9.708527292643893e-13,6.830597551177257e-14,1.2848446387194765e-12,3.821016228445139e-12,2.2906545172458968e-09,3.1533124601253716e-10,4.672012579047451e-06,1.4368356875471115e-07,3.0099478330844134e-09,1.7630790104928048e-06,4.1376293018909943e-10,1.785890267159092e-16,8.176614347329449e-12,1.343060085522682e-06,1.7444745003495523e-15,2.028208231250082e-12,3.1368525463966884e-16,8.613174005374092e-16,3.1389119504351543e-16,-6.249904085292548e-16,0.6799603448876405
0,1.1499367472,831,295.1190082645,583.3253443526,101325.0,0.4288611242,0.3,,,0.0011663416549516337,5.064209996213184e-07,0.04176119979175028,1.7997451891559473e-07,5.851956306248766e-05,3.478556058253466e-10,1.3115259050373809e-08,7.378294364978394e-10,0.2827961401786133,2.93674608261308e-10,2.5063455160494623e-11,1.9178379056884914e-12,5.254066930684376e-13,2.3767876198719627e-12,3.711489301404561e-12,1.2097090458589546e-09,1.6933476425368446e-10,2.4778569843901013e-06,1.5390682082349677e-07,6.230376849722267e-10,7.165537378885766e-07,1.658907910381382e-10,4.140380235356358e-16,3.0788103880879207e-12,6.643328517681151e-07,3.942625730782198e-15,3.9823977908556314e-12,2.663446001193543e-16,1.60992986337346e-15,4.506438958705158e-16,9.31978059646038e-16,0.6742130830624542
0,1.2011054653,794,295.444214876,579.4212121212,101325.0,0.4057283709,0.3,,,0.00012131247988093353,0.00016615656389024888,0.05154815736051288,3.891112092194968e-08,9.0759691116519e-05,4.289443682469317e-09,1.2409787218267065e-08,2.9949696685898774e-10,0.27952018415407703,1.2315229012288368e-10,3.2916095573718394e-11,2.8436902411370373e-12,1.5277167510134666e-10,3.50661671045827e-12,7.32188353677599e-10,1.3612807591064265e-10,1.9328481282676355e-11,2.7277473281043857e-07,1.6487015356564288e-07,3.8715151461580193e-11,5.8796236467216096e-08,1.3397531983376001e-11,4.752977077569723e-17,2.6071867821876567e-13,5.150127477149392e-06,8.135755239884778e-11,1.3462974981792901e-08,6.080200326319436e-13,8.22203722599854e-13,5.865742149344261e-16,4.93826260913796e-16,0.668547712471101
0,1.2508817745,751,295.6020661157,572.9549586777,101325.0,0.3813314728,0.3,,,6.5107532953434525e-06,0.0027161494696140475,0.05884497143306873,6.212581206417551e-08,3.0762269480855844e-05,6.826139784878984e-08,4.418229072494912e-09,4.855225329377756e-10,0.27600583494736347,6.903506273970858e-11,4.699094339590938e-10,3.237504138010352e-10,2.689688836317583e-07,1.101125154269805e-12,5.226372899255174e-09,1.3928061844457964e-11,7.321676275113837e-12,1.495949450559436e-08,1.7582090896753488e-07,4.099362693060161e-11,2.5564144283466003e-09,5.592526772628592e-13,6.284562323367708e-17,1.4635341776760026e-14,5.829807068414862e-06,2.1115861223590087e-08,5.819830409138799e-07,2.377292407183848e-11,8.943885724613395e-11,5.635601522218205e-16,-8.709983267847962e-16,0.6623887343583462
