,phi,grid,T_in,T,P,vel,blend,fuel,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,H2NO,N2H2,HONO,N2H3,N2H4,NH2OH,oxidizer.O2,oxidizer.N2
0,0.648300715,58,296.3240741,484.7467078,100791.432,0.198093657,0.2NH3,"CH4: 0.612351787, NH3: 0.387648213",1.2747031923025095e-06,2.2361027953005843e-10,1.9071730140248228e-08,0.06527109484948143,6.755234799735644e-06,0.13816112080395765,2.9339104372948416e-09,1.7063335811464527e-06,-8.281762938425517e-16,-8.264574180120169e-16,-8.247222131252298e-16,-8.255188686082217e-16,-5.311767501237732e-16,3.609793657640986e-14,4.7564916517681255e-06,0.056493093836381014,-8.107551681352364e-16,2.603953526602101e-15,-8.16828989494888e-16,-7.645598773318227e-16,7.111753852591699e-15,-8.191133298727047e-16,4.579748481825672e-15,-8.163944001218636e-16,-2.246374007432163e-16,-8.048320731579424e-16,-6.149942748159628e-16,-8.166842491965882e-16,-4.79968495743861e-16,2.041100619391278e-13,-8.264752807136365e-16,-4.107007942468103e-16,1.5738033920102724e-15,4.4813603157092265e-12,-8.042411849439999e-16,0.005178236491659604,8.538078724605696e-05,2.1279943870494405e-05,2.962939258112536e-09,-8.079132978928952e-16,2.4756497272202683e-09,9.93630008760733e-16,-8.168231608663317e-16,6.024557772348869e-08,5.4093506692526246e-09,1.8279789081069695e-09,5.650092990973763e-15,0.7347622646348217,-1.3077443174196865e-14,-7.460486759311568e-16,-6.27814623413866e-16,-8.054606402752413e-16,-6.890158154787671e-16,-7.874582121014184e-16,-6.275667145338691e-16,9.212160968202401e-06,-4.766850129645223e-16,-5.884949872207929e-16,3.7285729303024217e-06,0.21,0.79
0,0.687574701,48,296.4140845,493.613615,100791.432,0.218063218,0.2NH3,"CH4: 0.612351787, NH3: 0.387648214",1.6404172914532543e-06,4.046751728728854e-10,2.8493994385558887e-08,0.05773749393867515,8.410718465181946e-06,0.14558461695005004,4.024048906670177e-09,1.9095199059149334e-06,-1.9980330379884884e-16,-1.994132873654187e-16,-1.996805703428623e-16,-2.0046777457238844e-16,-8.219580723131045e-17,1.0940710667977302e-14,5.350261537283828e-06,0.05909672183202572,-1.855307979018685e-16,9.01519367179231e-16,-1.993147435067098e-16,-1.7527760223176027e-16,2.042346066950191e-15,-1.994379022067826e-16,2.945664527726583e-17,-1.9972478086933344e-16,-4.913898977027272e-16,-1.8875182212896485e-16,-1.863482318697826e-16,-2.0035268329062968e-16,-8.089645919196805e-17,8.17011229401509e-15,-1.993013107087631e-16,6.084531471841593e-16,4.866172525771446e-16,1.0043708988721572e-12,-1.7251279718061872e-16,0.005892234928789163,9.188077921912699e-05,3.4016240149506245e-06,4.697414893975287e-09,-1.955449934025672e-16,4.568311100279161e-10,2.0610505081231304e-16,-2.0031443059303438e-16,1.1746059928678477e-08,1.1704495635338857e-09,3.7974861900970445e-10,1.5832653342504313e-15,0.7315647517217895,1.7340875550928986e-15,-1.6073296523715736e-16,-1.645628514969611e-16,-1.9168484839276723e-16,-1.525596441771895e-16,-1.8033777096389918e-16,-1.9272258514327532e-16,7.52282176469981e-06,-4.7950500366670435e-17,-2.182357268649648e-16,4.0131122229608295e-06,0.21,0.79
0,0.701552633,51,296.23,427.830636,101724.686,0.246122148,0.2NH3,"CH4: 0.612351787, NH3: 0.387648215",2.1725031232460575e-06,4.3770614588375726e-10,2.414483075937965e-08,0.05475331644199674,8.555063519398626e-06,0.1473100112979637,3.83962111073764e-09,2.3754287282645455e-06,7.973718368379918e-17,8.075892266890375e-17,7.947727618087288e-17,7.903353006174357e-17,1.4573455001809225e-16,1.438990308106894e-14,7.660583025231325e-06,0.061003269752377305,1.0437055928720367e-16,1.119243629940284e-15,8.012608382432149e-17,9.497479958487577e-17,3.461135297763143e-15,8.021149661661384e-17,1.8464975465237333e-15,7.957240103965834e-17,1.3771633471094975e-15,7.430758835246801e-17,1.582670511391415e-16,7.315626394228499e-17,1.709328037615403e-16,3.396290778169518e-14,7.942265128584963e-17,1.301415702779765e-15,9.246667740931197e-16,1.7255416462789558e-12,1.0232241397875797e-16,0.006111613052505295,0.00010072112258647613,3.571623307412173e-06,7.290981410694038e-09,8.429429343273298e-17,8.854055294654844e-10,1.5813438852223425e-15,8.494406627403254e-17,1.1196491563808169e-08,1.5585184380489067e-09,6.485495037040339e-10,2.3059099733863795e-15,0.7306853896297666,-9.260650665815574e-15,6.117930688531694e-17,1.297717106215144e-16,7.59241253785968e-17,7.6383661698124e-17,7.084102500624197e-17,1.684083056964456e-16,7.22202150021276e-06,1.1310067970229409e-15,5.756319053830191e-16,4.071475713024824e-06,0.21,0.79
0,0.737818465,46,296.5586735,508.0607143,100791.432,0.240693564,0.2NH3,"CH4: 0.612351787, NH3: 0.387648216",2.667101003818384e-06,1.0860287566649882e-09,5.267736123855552e-08,0.0480877088875355,1.1395383357552583e-05,0.15452014199036507,6.639094561949095e-09,2.2187157772648735e-06,-5.2543404789821826e-17,-5.184954650114901e-17,-5.1150273471528597e-17,-5.139288800126812e-17,-5.0481164225630373e-17,7.385097262375074e-16,7.776449186463549e-06,0.06272077714061455,1.2055825877035047e-17,9.008455801823994e-18,-5.153230923675969e-17,-5.063224258978617e-17,1.6799567640210336e-16,-5.225129254952648e-17,-2.855140077816098e-17,-5.1101707610033495e-17,1.1125275893938934e-16,-5.2605632862902206e-17,-4.0593678887648876e-17,-4.9926908277279503e-17,-4.68326725672795e-17,-1.8186215648190332e-17,-5.181417382297964e-17,2.8034785135212868e-15,1.6809584204440227e-17,8.677917396708708e-14,4.0837944002059575e-17,0.006626404647555984,9.95553825767849e-05,2.5899271104209765e-07,9.862127553974561e-09,-5.165905102914157e-17,1.534347138228246e-11,-4.0253207043491257e-17,-4.799374990619011e-17,4.2345682131502625e-10,3.83269951193332e-11,1.652055395529626e-11,6.727062528817936e-17,0.7279110323234864,4.093666935438743e-15,-5.47373925284224e-17,-3.960488689774378e-17,-5.385078288138081e-17,-5.1228482516944946e-17,-5.4407800263692086e-17,-3.8844287912073e-17,5.630853459477025e-06,7.948288877933705e-18,9.455608951775239e-18,4.361374016291808e-06,0.21,0.79
0,0.753396318,53,296.5925,512.5994444,100791.432,0.244478419,0.2NH3,"CH4: 0.612351787, NH3: 0.387648217",3.3854908945348245e-06,1.6067305544465463e-09,6.248613132468392e-08,0.04382636197795551,1.2445624213263601e-05,0.15726067044472425,7.735701567867762e-09,2.3449082778472664e-06,3.361125063417647e-16,3.3597517003682957e-16,3.3631386699161946e-16,3.3646795013016653e-16,3.2823594159592737e-16,8.983663444865935e-16,9.942395390976537e-06,0.06460458093659571,4.692411253480914e-16,3.0935619959896516e-16,3.365179743267604e-16,3.335938890353687e-16,5.206073573572765e-16,3.367474882606329e-16,9.72314044912837e-17,3.366148519481049e-16,3.884243771894823e-16,3.307227093183522e-16,3.375639989198757e-16,3.3759523359779814e-16,2.68496367266596e-16,2.511652774608421e-16,3.385484166623226e-16,5.629234442347063e-15,4.2733428913876145e-16,1.1248386164910991e-13,4.857749694156953e-16,0.006886422158244691,0.00010210822667058411,2.2542104326381827e-07,1.3845583934986845e-08,3.3678619308210593e-16,2.1908628334256714e-11,3.4061073939144927e-16,3.3196483678026667e-16,2.4961705957619866e-10,4.230486046995565e-11,1.8222625040152503e-11,4.875757958486952e-16,0.7272820636600036,-3.656679613844851e-15,3.2594056520238115e-16,3.302739722947453e-16,3.322712228493556e-16,3.20588918126039e-16,3.3084572339519657e-16,3.0623569570321744e-16,4.989766868992138e-06,-1.5857055648209454e-16,2.6085100825094387e-16,4.372982789578127e-06,0.21,0.79
0,0.789254238,59,296.6725,517.4427083,100791.432,0.241887234,0.2NH3,"CH4: 0.612351787, NH3: 0.387648218",5.042983454662533e-06,3.907445313765625e-09,1.168201375972921e-07,0.03723470536324753,1.660418100071515e-05,0.16424329187100192,1.2346174804426316e-08,2.783410647996376e-06,2.6702773195167036e-16,2.659159643315003e-16,2.6397207743165477e-16,2.6598164046863863e-16,2.2813684053819436e-16,1.9747693420915382e-16,1.2828356669956576e-05,0.06672222173535572,7.4851744787894595e-16,-2.532798340315499e-17,2.674216947604181e-16,2.599300389741807e-16,4.8178104832779056e-17,2.6579414741382313e-16,2.479138377055352e-16,2.6658200926565275e-16,3.9715025391238965e-17,2.557949039748487e-16,1.7585575255426787e-16,2.662180930350602e-16,2.3112734581726513e-16,2.090364577341289e-16,2.7195643369265586e-16,1.519306029970518e-14,3.346843767140759e-16,8.742513818036872e-14,7.271352243105992e-16,0.007348162007887887,0.0001023053847624148,1.7012540696189494e-07,2.6011248637774225e-08,2.665533621719733e-16,1.5977573002761523e-13,2.496025295825286e-16,2.686742499925315e-16,2.891619604355885e-12,2.5018076892082723e-13,2.057427869419812e-13,2.720851832436974e-16,0.724303499683418,2.6679411241032138e-15,2.4982600907814813e-16,1.8457756802031942e-16,2.587802584658145e-16,2.1029840413052587e-16,2.60022256148197e-16,2.163664885511121e-16,3.7783291332256754e-06,3.0952025854377796e-16,2.785408840807435e-16,4.447479384876776e-06,0.21,0.79
0,0.805892891,52,296.7090278,520.5979167,100791.432,0.236942403,0.2NH3,"CH4: 0.612351787, NH3: 0.387648219",6.0214314024014596e-06,4.284963946940154e-09,1.0442023974187692e-07,0.034966781671137585,1.6030465716571262e-05,0.1667625748818336,1.1976702503906754e-08,2.7900850801482497e-06,-1.1371281939502525e-16,-1.1359767511961926e-16,-1.1483931502936496e-16,-1.1543708408726968e-16,-9.869265483374198e-17,-4.243611142793452e-17,1.6434590408622978e-05,0.06763845974943634,6.21535472521386e-16,-1.057185371244299e-17,-1.0688643295859311e-16,-1.0502261681850939e-16,-7.088558109099822e-18,-1.0744087338258337e-16,1.8151970409829923e-17,-1.0776024255939305e-16,1.3416556667077232e-16,-1.0465148383468705e-16,-7.427098218861227e-17,-1.0069969976609989e-16,-7.11947774063966e-17,4.6105724835566854e-18,-1.0569236744283594e-16,2.1691409739568448e-14,-3.7479666999003445e-18,1.552471948780451e-13,3.9480830097920536e-16,0.007452586740031519,0.00010605110249394072,1.819511373081261e-07,3.1002347079537456e-08,-1.0913158030400409e-16,1.7907250106537226e-14,-1.0376082061603462e-16,-1.1293336449306374e-16,2.53301467099337e-13,2.0958072492729305e-14,6.488361335481239e-14,-9.84331691250184e-17,0.7230237617399329,6.52404314436249e-16,-1.0056833273169171e-16,-8.051349276609055e-17,-1.0304742967367028e-16,-9.1301287117217e-17,-1.0177399210181924e-16,-8.234205943163074e-17,3.634493856723454e-06,1.1259213744103376e-16,6.31728058978275e-17,4.53941274581742e-06,0.21,0.79
0,0.848939565,56,296.18,449.0567514,101724.686,0.315656733,0.2NH3,"CH4: 0.612351787, NH3: 0.387648220",1.3890345873652719e-05,1.5324206678810852e-08,1.9790850369647393e-07,0.025363196980962694,2.2527158437530155e-05,0.17397338972506263,2.157772549292994e-08,4.319931906822573e-06,-2.326272992518799e-16,-2.279547601895441e-16,-2.2641489897079386e-16,-2.264100947064808e-16,-1.885920485234483e-16,-1.7529417192164552e-16,3.407526284677683e-05,0.07241153176539249,7.77062832105897e-15,9.531029390293327e-17,-2.170074522146374e-16,-2.0770057969566096e-16,8.935963552831247e-18,-2.198238708983402e-16,-3.58550443922854e-16,-2.1837919156386227e-16,-1.3093418789675155e-16,-1.9768451425471492e-16,-1.2435579218205793e-16,-2.0473791197966533e-16,-2.0497374957401595e-16,-3.014500726628452e-16,-1.6254274402394681e-16,1.3896395928469894e-13,3.4744214829170296e-16,6.021887278649524e-13,1.8510437796447056e-15,0.007778300406634588,0.00010508936938408968,2.2661853612138335e-07,1.027834152619612e-07,-2.184990143367667e-16,1.9434135599147562e-13,-1.9721105565973854e-16,-2.2767854783736134e-16,5.27542221104166e-14,8.82207101319437e-14,2.510393730136692e-13,-1.5993831517048083e-16,0.7202855597011062,-8.78114962914333e-15,-1.9299194925883658e-16,-1.331641867833736e-16,-2.0250034378065624e-16,-1.596947367785698e-16,-1.9291119235355063e-16,-1.8734465849983715e-16,3.193088634848385e-06,-3.2150704456822035e-16,1.7283550296342685e-16,4.362050047538302e-06,0.21,0.79
0,0.900395628,55,295.6,458.2683521,101724.686,0.33755166,0.2NH3,"CH4: 0.612351787, NH3: 0.387648221",3.91966058244398e-05,7.54894809114683e-08,2.961364502032409e-07,0.014488563377107083,2.6632252299144466e-05,0.18329754482607571,3.509107373846907e-08,5.079879721699048e-06,-2.0165270241672902e-16,-2.0076975059922747e-16,-2.015817017178055e-16,-2.0169425216162445e-16,-1.9567539674912038e-16,-5.61711089588509e-17,9.048761981040966e-05,0.07690226673160934,1.8026232589783414e-13,8.72559307067213e-17,-2.0149863035332537e-16,-1.9971766635857785e-16,-6.361555026484229e-17,-2.026772315856464e-16,1.3753672976608707e-16,-2.0144418826277398e-16,3.594158194260923e-16,-1.9710884708492515e-16,-1.7011615415863645e-16,-2.0379835337343469e-16,-1.0725322124509485e-16,2.1399447762039253e-17,8.300580574497698e-16,1.7551390338456528e-12,6.017851874189381e-15,4.4062113790631035e-12,1.3074970020288314e-14,0.007926492206791582,7.564374735722996e-05,4.4597926927929347e-07,4.443807003948404e-07,-2.0198976345005681e-16,3.630027774580723e-14,-1.9995559968506092e-16,-1.9625465294771461e-16,-3.6930638540699197e-16,4.511561362572197e-15,9.28331908961353e-13,3.523498916704735e-16,0.7171387109962267,1.8812226838928014e-16,-2.0034368866047109e-16,-1.7949625280282703e-16,-2.0042208655315928e-16,-1.8851086799986028e-16,-1.5048384195792174e-16,-1.9984373150729717e-16,3.8031953296914463e-06,1.901966147265645e-15,6.468796274793945e-15,4.281477536706518e-06,0.21,0.79
0,0.945390252,79,297.6387974,473.2779517,102071.3232,0.240919822,0.2NH3,"CH4: 0.612351787, NH3: 0.387648222",0.00014065164340011502,6.90844154846987e-07,4.050150757252133e-07,0.006032901544677474,2.864404050626549e-05,0.1917875143102146,8.260741704292712e-08,4.882280539283589e-06,-2.6670199138881665e-16,-2.6679004095151637e-16,-2.669332445023116e-16,-2.6768622590214617e-16,-2.6890634627078454e-16,-5.573455788271884e-17,0.0002407627412899394,0.07999234691659804,9.635342837281646e-12,4.770900956979151e-14,-2.6664116970739647e-16,-2.663050913584525e-16,-1.9460489866770712e-16,-2.659256130148068e-16,4.685648179306506e-16,-2.676587604569489e-16,1.2058184564205933e-16,-2.717174584381228e-16,-2.63172635999641e-16,-2.6612562329786575e-16,-1.5675300355428732e-16,-1.6697101206312744e-16,2.8307540026094155e-14,3.661327626676612e-11,1.0466398731951904e-13,4.4359263706059706e-11,1.705264561074843e-13,0.007830626725722096,2.9107128835840218e-05,2.094432453116967e-06,2.898292202798518e-06,-2.671169089398349e-16,1.5754025432677562e-13,-2.5368436089029916e-16,-2.673366635511452e-16,1.750966588450651e-15,3.268337514338846e-15,7.695726172189577e-12,1.1614995707794703e-14,0.7138980921063338,4.648786420623705e-15,-2.6795086383511073e-16,-2.685988219890273e-16,-2.670979741281895e-16,-2.696748358620907e-16,4.1253297956997263e-17,-2.628933438031608e-16,4.1584909087269725e-06,8.940051865819213e-15,7.361946495754286e-14,4.140780758983104e-06,0.21,0.79
0,0.952058541,77,297.607429,473.207429,102071.3232,0.240061319,0.2NH3,"CH4: 0.612351787, NH3: 0.387648223",0.00019140779757002193,9.0385621248991e-07,2.608401533021037e-07,0.004474100057563614,2.2790221382984868e-05,0.1929002389098551,7.780069576348113e-08,3.8599415236979315e-06,-3.956417432794272e-16,-3.9356553612185025e-16,-3.868196614656562e-16,-3.8633867053026187e-16,-4.881634115838837e-16,-4.2642180837784846e-16,0.00030372448767528346,0.0806141403084372,2.1321390911198832e-11,1.7018063530596676e-13,-3.681161532543106e-16,-3.8354370315524763e-16,-9.28215606544134e-16,-3.743335747799711e-16,-6.813443580975251e-16,-3.6797547917703056e-16,-5.83530718163006e-16,-4.475852471550739e-16,-5.858846977616783e-16,-3.6448396192011376e-16,-4.537759996646407e-16,-5.646994107413481e-16,4.4792331622089873e-14,6.550163799597479e-11,1.6875135747247312e-13,7.741258220707461e-11,2.2281963621727498e-13,0.007726544637302746,2.0101187894490676e-05,3.4395876943050133e-06,4.330681397064334e-06,-3.7007312461160103e-16,3.0990195598910413e-13,-3.4011160103200896e-16,-3.5963520554575033e-16,-5.009603614788558e-16,3.2156205017516852e-15,1.4383841147451696e-11,2.0328606742363315e-14,0.7137257823401356,2.801517348861194e-15,-3.7542225482562844e-16,-5.106150996285704e-16,-3.941056069111474e-16,-4.685487176621673e-16,7.404460631316563e-17,-3.627984176548329e-16,4.371044082324844e-06,1.3179206751635332e-14,1.2808565445507717e-13,3.926120732649422e-06,0.21,0.79
0,1.000031381,72,296.399322,475.3188136,102071.3232,0.254376387,0.2NH3,"CH4: 0.612351787, NH3: 0.387648224",0.0029181087466826844,2.305469353323104e-06,3.5608816012163727e-09,0.0002514875267738165,3.474140315820444e-07,0.19634744313069366,1.1905510941464887e-08,2.312676405751151e-08,-2.6881766019617874e-16,-2.714275528150593e-16,-2.6115730784958754e-16,-2.701734575613181e-16,1.878873862162282e-14,4.721220872381589e-13,0.003996985390578593,0.08002138428597623,4.006103099687218e-09,4.144058904893455e-10,7.33451059470658e-14,6.844426314754842e-15,1.0463228505401219e-13,-2.659590445749731e-16,-1.5345684625879048e-16,-2.6887404014902744e-16,-3.962507361824097e-17,-2.6646955354889135e-16,-1.0967004833267178e-16,-2.7053474239134907e-16,4.019086731165811e-16,-2.494866108064387e-16,1.3447182422117998e-12,2.510337984933396e-09,1.4595908724855918e-12,1.4112548370719466e-08,7.503325876076133e-13,0.006879257829780698,8.784738394418214e-07,5.659775218994746e-05,1.067516729533004e-05,-2.652619462311442e-16,3.8802292341824054e-11,1.464079900410622e-14,-2.6076622919428487e-16,1.0053048249629069e-14,8.652217677481675e-14,3.274617246143293e-09,6.579295987154933e-13,0.7095099692733351,-6.8178417252232745e-15,-2.6437817643275777e-16,-1.4300715399422897e-16,-1.709541584904409e-16,-1.8391963721990155e-16,1.4496928068308709e-12,2.7995819068132733e-16,1.0147710077400467e-06,1.2259728339208322e-12,2.7416336106980593e-12,3.4818080836206766e-06,0.21,0.79
