,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0,0.749944071,598,297.8775868,544.8503656,101213.6183,0.301912406,0.3,"NH3: 0.520668697666667, CH4: 0.479331302333333","O2: 0.21, N2: 0.79",30.22470601197392,30.1912406,5.551729046411989e-06,8.389408291221693e-10,1.5060657973194403e-08,0.039319139451823554,1.0541710186973179e-05,0.16962481626550985,2.4507166832068697e-09,2.5612910351312348e-06,1.318713861694184e-16,1.3070235055882628e-16,1.4022238937814393e-16,1.302604929785102e-16,3.194356910070217e-16,1.3160605191083896e-14,1.407540512047854e-05,0.05593913025702492,2.9548386575883633e-16,1.2336789479129878e-15,1.3713176227899783e-16,2.6806973676132133e-16,2.9006600812080025e-15,1.3288361635695208e-16,2.1407263916211922e-16,1.4098878109830752e-16,2.4639151151794333e-16,2.357211329583263e-16,2.2898554833973204e-16,1.4734710319936217e-16,2.593308137727777e-16,2.6091750148359287e-16,1.4757818621322045e-16,3.9420412591935e-15,1.901787069881343e-11,1.4550803022790468e-10,1.5889083908045953e-16,0.011688527013922336,0.0001141350618254768,2.6619038746011996e-06,3.356770603587007e-08,1.401289607562779e-16,1.1021731756098237e-09,3.0515612263314126e-15,1.3774721765089364e-16,2.7791798138351255e-08,5.955580217369854e-10,1.1398801505090906e-09,1.5807813293767673e-15,0.7232787771986441,-1.3307083444717998e-15,2.3724812469468426e-16,2.314637751265609e-16,2.6508198240763336e-16,2.3331118372084653e-16
0,0.799863962,581,297.7131599,560.4930005,101213.6183,0.35513521,0.3,"NH3: 0.520530744333333, CH4: 0.479469255666667","O2: 0.21, N2: 0.79",36.44011232927096,35.513521,1.1233166558668124e-05,2.8843810650977806e-09,3.004543226563952e-08,0.029592933247397275,1.450625021561589e-05,0.1792714228575719,4.497402022514045e-09,3.305452407461315e-06,-1.0200320885646439e-16,-1.0189104094559329e-16,-1.026660621076173e-16,-1.0184709696300173e-16,-2.766360658043735e-17,7.00492465691757e-16,2.5116210112675063e-05,0.05913860324143931,1.0183946030906045e-15,2.5517642421881613e-16,-1.0229652222774655e-16,-4.826174831625405e-17,2.0713771880654643e-16,-1.0214552398592367e-16,-1.1871915733047585e-16,-1.0245911745308557e-16,9.649381783427366e-17,-4.4394602764824115e-17,-1.5542189838640787e-17,-1.0203117889534984e-16,-1.2687240844499036e-17,-4.2165755221467106e-17,-9.860216830923931e-17,1.4930786764576403e-14,3.0295545387549e-12,2.2054053433792523e-11,1.3708754947750967e-17,0.011999969431825465,0.00011156127802655193,3.4829653143229214e-07,8.779963767321579e-08,-1.0246161901074529e-16,4.143994064833351e-11,1.8642249930396638e-16,-1.0236023633031418e-16,6.759371655292623e-10,1.2143801042048178e-11,5.0795293536519574e-11,9.734549539246465e-18,0.7198308745356499,-5.265819995565554e-15,-4.225353209641156e-17,-1.5102085784453082e-17,-3.16110266267691e-17,-3.0548459544556554e-17
0,0.849582705,604,297.698572,579.1445064,101213.6183,0.40994638,0.3,"NH3: 0.520572273333333, CH4: 0.479427726666667","O2: 0.21, N2: 0.79",42.941291788258354,40.994638,2.7411135594262105e-05,1.2746801155420394e-08,5.8422635314313736e-08,0.02000520981009642,1.949549930420624e-05,0.18887338517226337,8.595749891600326e-09,4.2647112954385945e-06,-5.925233891088934e-17,-7.443816141426685e-17,-4.287093170111732e-18,-8.163685521266643e-17,2.262465610864326e-16,2.605241198065026e-16,5.365220930471692e-05,0.06231254240585905,1.5862398973418254e-14,1.0541609521056111e-15,-1.3124003242079823e-17,1.998266876153808e-16,5.534325261649269e-16,-5.4437386015550304e-17,6.398907736217768e-17,1.1103198456562261e-17,3.934530919654144e-16,2.0276258447817615e-16,2.5098292168607773e-16,1.234032959523067e-17,2.6954546796518653e-16,2.3538794648296235e-16,6.283119516093683e-17,1.2463241291250249e-13,8.290893102781356e-12,5.639076815655408e-11,4.908977056665436e-16,0.012016141242718143,9.439373041681967e-05,5.406399353783929e-07,2.948233260668632e-07,7.140811121349588e-18,1.3660498271863403e-12,2.7740193388999804e-16,-5.374887143933806e-18,3.3876995012643677e-12,1.5360635838560145e-13,1.7368908752214677e-12,1.5765010373287071e-16,0.7165925887832341,-5.8525718961024726e-15,1.711295925968422e-16,2.472922489751957e-16,1.68926882957988e-16,2.137630167054173e-16
0,0.89995353,645,297.6745556,583.1618148,101458.042,0.458292383,0.3,"NH3: 0.520608965, CH4: 0.479391035","O2: 0.21, N2: 0.79",48.75449722399094,45.8292383,9.182137804190026e-05,9.104909658662266e-08,9.624476463179318e-08,0.010464000115316103,2.4132443010028098e-05,0.19849100684144466,1.9863146092796047e-08,5.277375342961696e-06,-4.0930282558670346e-16,-4.361840625248405e-16,-3.303293389875509e-16,-4.458786863644567e-16,1.6298919166771066e-16,3.468275885237588e-17,0.00014461729771953125,0.06555013024507893,5.876868887292128e-13,2.838754444463239e-15,-2.9380549699119246e-16,2.6105162501639188e-17,2.4340915356106924e-16,-3.999286246521067e-16,-1.5868148134233656e-16,-2.37292366021622e-16,5.663082279759871e-17,2.6829003789848144e-17,1.1563498938778644e-17,-2.8682199677922245e-16,5.0449474525230475e-17,3.8641938455133365e-17,6.684649741527452e-16,2.0813957037581755e-12,5.287057580124044e-11,3.397130172698712e-10,3.849838093438733e-15,0.011735683996230607,5.440886165459945e-05,2.4652935514262443e-06,1.665229073427675e-06,-2.3953237385821297e-16,2.189193657508262e-13,3.813995334321083e-17,-2.7713652807518076e-16,1.7283767570774223e-15,4.943770531251247e-15,7.25057993674527e-12,1.4546620676080058e-15,0.7134345833637906,2.734534933136861e-15,1.8832221875817777e-17,1.483885500436627e-17,1.2882649223634196e-16,1.9363480236448287e-17
0,0.95059923,636,298.0037758,601.1493784,101413.6013,0.494703942,0.3,"NH3: 0.520698037666667, CH4: 0.479301962333333","O2: 0.21, N2: 0.79",53.16324397217318,49.4703942,0.0008556823231785345,1.2583427666531283e-06,1.153561939947152e-08,0.0020214431764853415,6.783413481821162e-06,0.20732249656563156,3.867420681569088e-08,8.226903043986757e-07,1.1661502429923451e-16,1.0028671913089318e-16,1.4766153156143816e-16,9.586635562801145e-17,2.776150266616585e-16,1.3254495634807028e-15,0.0009291864076316188,0.06785003275305766,2.582126717382451e-10,1.2950125889620222e-11,3.7673041787042545e-16,6.663440995686965e-16,1.0686077295016612e-15,1.2076953717871808e-16,2.0172000615349788e-16,2.5017061241208053e-16,2.764955879305686e-16,1.6201923358355497e-16,2.0555316092753075e-16,1.6790904081371838e-16,1.297034825735739e-16,2.0887911683689875e-16,5.139611032316892e-14,1.7902896704122054e-10,6.921125482418394e-10,1.2624809483346448e-08,7.047300360592007e-14,0.010883483822885226,7.882526007198187e-06,3.880677988942941e-05,1.6193092306699697e-05,2.9479085789787314e-16,4.507049621365437e-12,3.953852200197479e-15,2.5008530943647444e-16,4.197914522963704e-16,7.08247883537371e-15,5.192408250149863e-10,1.2707301776099146e-13,0.7100658636054437,-2.5382095586738683e-14,1.4607162650353842e-16,2.342785545168112e-16,1.5904949797907886e-16,1.9972965406192557e-16
0,1.000359633,641,298.0470669,614.9192732,101391.381,0.514780965,0.3,"NH3: 0.520801827, CH4: 0.479198173","O2: 0.21, N2: 0.79",55.562188988860726,51.4780965,0.005331714241992071,2.342772736169386e-06,4.203274125943921e-10,0.00011462655032672192,1.6553171055853335e-07,0.20926526960341055,5.6301442477770144e-09,1.2977793848976917e-08,5.011284188101571e-17,2.7570179643009273e-17,1.2864604310242547e-16,2.2625762055492958e-17,1.3470574487443424e-13,3.034783503825853e-12,0.005870968049860859,0.06505173313249615,2.1331472555685502e-08,1.6273351700359142e-09,6.078723680859829e-13,8.532134397812356e-14,6.642957844563777e-13,4.848977828215011e-17,2.8773624983201153e-16,1.6483576943884747e-16,1.8998371815346445e-16,1.6468618443479967e-16,2.0603535650932578e-16,8.961426866130578e-17,3.382879114692275e-15,1.664518464905423e-16,5.273356943733175e-13,1.5655632911292034e-09,1.420485788221752e-09,4.2510036611986127e-07,1.476704050625026e-13,0.008874490734243344,4.794581452598022e-07,0.00017191780812376515,1.5601493107749242e-05,2.226990926630908e-16,3.75393754387512e-10,4.525528749392336e-13,1.8252694689689098e-16,6.012441009728634e-14,1.4567219361910617e-13,2.068032461734631e-08,1.3349759743818694e-12,0.7053001994874312,6.6458585915884706e-15,1.6298307603440454e-16,2.1410380750401892e-16,7.681172245519677e-16,2.2521363333156786e-16
0,1.048214494,615,298.0154963,618.1457101,101391.381,0.516647552,0.3,"NH3: 0.52065138375, CH4: 0.47934861625","O2: 0.21, N2: 0.79",55.745530634685565,51.6647552,0.011080497845413628,3.649501981850567e-06,3.795063914742526e-10,1.4760963774095796e-05,5.004564742571273e-08,0.2091454312169935,1.8006016483332055e-09,2.93792407501499e-09,4.97035189473162e-15,6.120800794110753e-16,1.0984990575139019e-14,-9.100271781637474e-16,2.331376452871187e-12,6.595975852018576e-11,0.012236434041680972,0.060485216639806536,9.305231831145992e-08,8.856987061851598e-09,1.496729977175425e-11,5.918742669429679e-13,1.172346323997195e-11,4.071256368738055e-15,1.958252803159865e-14,1.0974753451570096e-14,8.97861555001079e-15,9.53143928551361e-15,1.2283243979770006e-14,7.60482956965579e-15,1.261277980787348e-13,1.0748892413451742e-14,2.2439188672942053e-12,3.3561555830672617e-09,2.823307741540759e-09,2.1537950960950752e-06,2.2345896786658792e-13,0.006965438331306761,7.903460974941492e-08,0.0002493612614409796,1.2591561680695299e-05,1.021632244921141e-14,5.670476272892511e-09,1.0563060850573598e-11,1.2422129586809497e-14,9.17892554550898e-13,5.68924463615257e-13,8.703923493688483e-08,4.322377022216804e-12,0.6998041297293015,1.1895897263148636e-14,1.2464594536652744e-14,1.4984744476096796e-14,3.9441236859088167e-14,1.4036727650652005e-14
0,1.099010816,607,298.063669,612.0418972,101391.381,0.498017922,0.3,"NH3: 0.52059183625, CH4: 0.47940816375","O2: 0.21, N2: 0.79",53.50288109119265,49.8017922,0.017736774131267213,5.415584845046938e-06,7.284840083217603e-10,3.1282615793712883e-06,3.0295882974221116e-08,0.2081592834399281,9.029438204861128e-10,1.3147937220295073e-09,2.629734988418763e-17,-7.954887825510062e-18,1.6934088313278873e-14,1.151470586171229e-16,1.1110254981453672e-11,4.836437764203693e-10,0.018682729536064854,0.05604653601495587,2.214134779288772e-07,2.9421467918226023e-08,7.329773093308901e-11,2.467476962733135e-12,7.559296901276997e-11,1.3118872509386182e-17,1.993520601931165e-15,5.070866984427344e-17,4.2977713028116184e-16,4.5064968227158897e-17,4.912172791285677e-17,5.2126762820558614e-17,1.070415497915178e-12,-2.0014694071495316e-17,7.373943876350005e-12,5.516831052522703e-09,4.503805680323155e-09,5.862692144403932e-06,3.2526886079252043e-13,0.0051571230033877645,2.3160040684600284e-08,0.0002776491332571788,1.0257156228935166e-05,4.055117378703593e-16,4.822985532754014e-07,1.4693052881078538e-09,1.574170353344271e-15,4.6839339340004146e-12,5.101545361082766e-12,2.023486952242967e-07,9.93041209406292e-12,0.6939142369970651,-2.685664232206391e-14,4.738929284600427e-17,-2.2902290033446385e-16,3.333844486263408e-13,6.907396854296062e-14
0,1.149741164,600,296.9069639,623.5311782,101308.0548,0.463241538,0.3,"NH3: 0.52062178, CH4: 0.47937822","O2: 0.21, N2: 0.79",49.379091378247495,46.3241538,0.024966632574490673,7.521862296122445e-06,1.495920313542894e-09,8.362061304079904e-07,2.1382578314483707e-08,0.20651374905403416,4.6458314714845395e-10,6.585232238487075e-10,2.415710324042586e-16,2.414641172537216e-16,6.882779014961457e-14,6.351540843715642e-16,2.988100847960892e-11,2.619908278613203e-09,0.024656210951449122,0.05198135774685799,3.4577967821064355e-07,5.697651089032197e-08,1.6007602473324695e-10,5.009397816798711e-12,2.1493800864398202e-10,2.2207813361743857e-16,1.208220018725332e-09,1.0015290286810245e-11,2.24977875753519e-10,1.0821259645675699e-12,3.768404188476235e-11,5.113865192322332e-16,4.4422225493756255e-12,4.498865240160915e-15,2.1500682520377003e-11,8.455942344421963e-09,7.757829490410698e-09,1.6248638196002397e-05,4.885389185868838e-13,0.0037674544562645,8.951615131062105e-09,0.0002795588863884987,7.641399774538001e-06,1.875660694792219e-14,3.5374000793858594e-05,1.3176772297650875e-07,6.609115659374099e-15,1.1674047393435867e-11,1.5500707264140836e-10,4.842558028806948e-07,1.6700791183571953e-11,0.6877663415528706,2.9637752117907343e-15,2.8816730437009e-16,4.214355235440335e-16,1.5681992381010724e-12,4.686974009991444e-13
0,1.200427585,616,296.6981722,614.4157131,101502.4827,0.41372275,0.3,"NH3: 0.520534537333333, CH4: 0.479465462666667","O2: 0.21, N2: 0.79",43.52437334837896,41.372274999999995,0.03129490968931078,5.358021629962258e-06,1.071153764983458e-09,2.424617456170823e-07,1.3661330625097818e-08,0.20488995722467324,1.468041480719303e-10,2.1464012440876933e-10,-1.9723758204787196e-17,7.678354333141081e-17,1.7005859319438568e-13,6.677119251441399e-16,1.7409393227612212e-08,5.5663436382669175e-06,0.030431096091494247,0.04772428242115268,3.797152492979599e-07,6.19813996904899e-08,2.0009420327792122e-10,4.982581443255607e-12,2.933887368863273e-09,3.173711110725786e-17,3.99456249803661e-06,2.6621291348066852e-08,8.376948840979347e-07,4.003136972768251e-09,1.364923767996854e-07,1.97160687589282e-13,1.1543602254708093e-09,1.373891042876118e-11,1.8494418788603642e-11,8.453256389976942e-09,5.097879565636806e-08,0.00026472294670642273,3.1823037934679864e-13,0.0031240967253466103,4.814198029198044e-09,0.00029115402363208914,5.69439693891669e-06,1.1665948518410306e-13,0.0004616591238049012,1.5769889302409177e-06,1.9370930673994585e-14,1.9570528149530478e-09,1.9226973674701864e-09,4.112657782939635e-06,1.5929782036065408e-11,0.6814900240625552,9.410570936110412e-15,1.5247199817566921e-13,4.195684094352597e-11,4.636487164149321e-10,2.724222965941954e-10
0,1.249398118,630,297.9628061,599.9279529,101224.7285,0.355782345,0.3,"NH3: 0.520633694, CH4: 0.479366306","O2: 0.21, N2: 0.79",36.9331701548831,35.5782345,0.03491843823206297,2.565956971641444e-06,6.479315022673241e-10,1.6420110164277028e-06,8.004594628240928e-09,0.2033881736769307,7.527726653727047e-10,7.393280445360863e-11,4.839832750313293e-16,4.525149112575943e-16,7.088118406065225e-13,2.4598611896237578e-15,1.9489860282389838e-07,0.00011597311212991238,0.034728147515115104,0.04458661074057732,3.0167633210601895e-07,7.823207355941878e-08,4.698758585217582e-10,1.0099446824580184e-11,3.089885054652775e-08,5.089635999572271e-16,4.838340446867294e-05,2.055940628219762e-07,9.754113605512518e-06,4.58888336395578e-08,1.3119846713012488e-06,1.52682158836772e-12,2.8168780231771698e-08,3.123895610917551e-10,6.950478814152248e-12,5.9069834377462325e-09,2.1910789543870975e-07,0.002604157571142952,1.280787778366392e-13,0.002787905725157907,1.914134117883611e-08,0.0002716341875363357,3.799071348761806e-06,1.1294713509603737e-13,0.0010416286140846665,2.5303144617293275e-06,7.621758195299989e-14,2.7912778181996284e-08,7.184147422224614e-09,3.549488927632513e-05,1.0252371579684078e-11,0.6754506454551006,6.371532387152862e-16,2.2653889642933288e-11,7.779171931994678e-09,1.197820754265113e-08,8.742269677388925e-09
0,1.249958625,631,296.5217563,604.0192942,101391.381,0.356712763,0.3,"NH3: 0.520521790666667, CH4: 0.479478209333333","O2: 0.21, N2: 0.79",37.06954438626917,35.671276299999995,0.03490322656200536,2.590023236327466e-06,7.196999548391172e-10,1.93393973034557e-06,8.058800749493876e-09,0.20337276650051256,8.644827753740441e-10,7.570792908643466e-11,-7.512114385756382e-16,-7.734949664601297e-16,7.980854471564655e-13,1.3902343259011952e-15,2.0766299124662515e-07,0.00012416463045234388,0.03474371608610222,0.044573414093063084,2.878755726245307e-07,8.16042584190464e-08,4.922414747308384e-10,1.087177668990855e-11,3.271974851053461e-08,-7.278813663067046e-16,5.119683422605927e-05,2.1394056559430082e-07,1.0277094630228299e-05,4.848904867946524e-08,1.3714413216671149e-06,1.8352820427697247e-12,3.191828800649707e-08,3.396091645481466e-10,7.202930655975195e-12,6.044275104356487e-09,2.286560013848303e-07,0.0027366395018596115,1.331296710882425e-13,0.0027760963971040493,2.1494346842170983e-08,0.00027042568374938553,3.6923844304462695e-06,1.1949775704344096e-13,0.0010569008515919807,2.4129128388770162e-06,8.051118771427341e-14,3.017890118634664e-08,7.422717383564437e-09,3.739993081969265e-05,1.0118950281354827e-11,0.6753305344238253,-6.163098739665835e-15,2.500377296162427e-11,8.60873825509217e-09,1.355210685079275e-08,9.93424113782052e-09
