,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,H2NO,N2H2,HONO,N2H3,N2H4,NH2OH
0,0.64987396,976,297.3401876,524.0008899,101391.381,0.286398527,0.2NH3,"CH4: 0.612096943490917, NH3:0.387903056509083","O2: 0.21, N2: 0.79",28.483475155661836,28.639852700000002,1.9022372907406805e-06,2.377893277050581e-10,2.285867203746054e-08,0.06401958378894193,8.891640358619524e-06,0.14004999780268346,3.001798009388281e-09,2.493748362075932e-06,-2.4704133265316475e-17,-2.5161136401639136e-17,-1.9973959983010928e-17,-2.544412664663294e-17,5.799977044447849e-17,1.669284734384352e-14,5.410660091737714e-06,0.056357642326789886,-8.244891550298708e-18,1.2051561827975194e-15,-2.345387329637248e-17,2.3239541992365994e-17,3.701054118248863e-15,-2.483937068682838e-17,8.051461482583151e-17,-2.2393140600670704e-17,1.4043776139130784e-16,7.92578533957035e-18,1.0926170608298906e-17,-1.6232740797946494e-17,1.1382016900662471e-17,1.840001561861169e-15,-1.0804237474364725e-17,-1.097894154993653e-17,5.729396232066846e-16,1.76594152151475e-12,-2.0304932469651625e-17,0.005047970980897542,8.619783960153397e-05,1.3891750489170964e-05,4.95500219612652e-09,-2.2889798367350307e-17,7.092747257723599e-10,1.149347979561677e-15,-2.3375693705532542e-17,2.3654871482661182e-08,1.6111639990893137e-09,6.925271671983993e-10,1.2575658457524674e-15,0.7343939258105473,2.794412476954197e-15,-5.825464270125615e-18,9.787054526509762e-18,3.181708866367003e-17,-7.07172891536165e-18,1.405483183777349e-18,6.180427949811463e-18,7.637010582654707e-06,1.0840171573186066e-16,5.465830596550548e-17,4.396680468828654e-06
0,0.699533012,914,297.834618,540.7784952,101371.3827,0.327161046,0.2NH3,"CH4: 0.612220808259477, NH3:0.387779191740523","O2: 0.21, N2: 0.79",33.45266285260732,32.7161046,2.938772533682153e-06,5.764954016146473e-10,3.876943460202619e-08,0.05390568320502252,1.2063688633567753e-05,0.14934235320730102,4.6219830809934214e-09,3.0666156472323976e-06,-3.584285667605679e-16,-3.664806385401243e-16,-2.905698058695495e-16,-3.712472628602593e-16,9.239037836724686e-17,1.7127668821860965e-15,7.2071522349011714e-06,0.060091434182642164,-1.922019574474511e-16,1.2432399630332592e-15,-3.3782917547395237e-16,-1.9525942531134192e-17,8.4086639533629895e-16,-3.6043852430579236e-16,-6.727475334428511e-18,-3.1868991264190974e-16,4.933055021688253e-16,-5.3193656554650855e-17,7.933130370106383e-17,-2.5911718966865453e-16,6.737553916214811e-17,1.1210838536626206e-16,-2.294034594878128e-16,-2.3787321605459967e-16,-1.2161917843046685e-16,1.094211575560881e-13,-3.55570149065807e-16,0.005936897839889911,9.645573898073916e-05,5.672037957159624e-07,1.0278202511832319e-08,-3.3377673649365115e-16,1.9099545185637007e-11,1.0281218238413995e-16,-3.3505031859506607e-16,1.1734369489976315e-09,4.898234410519854e-11,3.3322803352759486e-11,-2.5158443053972704e-17,0.7305905822371498,2.048943741440052e-15,-1.987861991617194e-17,7.024576772560274e-17,1.5433326299870296e-19,2.387320654885966e-17,-5.672471327792329e-17,3.5822124178792564e-17,5.8536144992001915e-06,2.850588884722455e-16,1.500969147705337e-16,4.84102060021896e-06
0,0.749940011,949,297.8464894,558.4945964,101371.3827,0.385745402,0.2NH3,"CH4: 0.612139067809774, NH3:0.387860932190226","O2: 0.21, N2: 0.79",40.50412918277448,38.5745402,5.825014593358789e-06,1.8919590475371573e-09,7.271944826945735e-08,0.04359968786202202,1.6781894918735546e-05,0.15874347176752954,8.239811359045756e-09,3.938575808093461e-06,1.9876150267235154e-16,1.9912777051806463e-16,1.8605196874718626e-16,1.98930658540759e-16,5.3125978533198944e-17,5.5211510002912074e-17,1.3710737545860481e-05,0.0639464727264907,4.18323336411208e-16,-2.8443679103166897e-16,1.9504357910982643e-16,1.0723508635030979e-16,-9.130365905960268e-17,1.9886588641697692e-16,1.1634165226740757e-16,1.8921019641712276e-16,-1.6428098735507338e-16,9.703406072278884e-17,3.514178028517012e-17,1.6689690737959118e-16,6.452242175865398e-17,1.3110538563912775e-16,1.5943626422316796e-16,1.708930190789698e-16,1.2890670247600244e-16,7.411686889347883e-14,2.630906299507728e-16,0.006660193877818721,0.0001071363616759506,1.9635326756522916e-07,2.638056545104907e-08,1.9409502807201724e-16,3.3313000375891344e-13,7.851018509468852e-17,1.9470427314927424e-16,1.488017893905518e-11,4.496205670337437e-13,7.184360183796537e-13,1.2739551428456765e-16,0.7268929168868413,-3.1134806650965646e-15,9.683197092883631e-17,4.8103709723732005e-17,4.096867499903404e-17,7.756724839719554e-17,9.471406026973086e-17,7.727633286629743e-17,4.445259392505283e-06,-5.074556518623443e-17,3.230980751269024e-17,5.113433855633247e-06
0,0.799922992,981,297.7412027,581.1211762,101371.3827,0.455036467,0.2NH3,"CH4: 0.612068498620634, NH3:0.387931501379366","O2: 0.21, N2: 0.79",48.89569695649993,45.5036467,1.2581812367413544e-05,7.233743515867391e-09,1.4544681823858726e-07,0.033448896254763896,2.3297172018236485e-05,0.1680565210293046,1.572188273425894e-08,4.993844036180403e-06,-2.9442824874398376e-16,-2.756935872829489e-16,-3.9480196596842543e-16,-2.644252383633407e-16,-8.318482070883287e-16,-7.04064823092679e-16,2.8497716685229827e-05,0.0677433297704038,1.9716289531644207e-15,-1.6101388534098765e-15,-3.360118094744249e-16,-7.060533497985412e-16,-9.60815113181994e-16,-2.8595640651183435e-16,-5.043946766017942e-16,-3.7321235700071305e-16,-5.182888361846678e-16,-6.847228024124619e-16,-6.847270433779158e-16,-4.283809531432357e-16,-6.013345532125396e-16,-5.465748046252143e-16,-4.4991935036901655e-16,-3.620820539923006e-16,-4.1475442647360743e-16,2.933975409589565e-13,6.750604796974954e-17,0.007202456339793494,0.00011006058431450333,2.1468807978806722e-07,7.333028167567295e-08,-3.519119540341104e-16,3.2658841623641942e-15,-6.550086879040495e-16,-3.437504594936e-16,3.118416991429371e-14,2.2493367959752e-15,8.173301210591856e-14,-5.409189624989213e-16,0.723360173065737,9.336336420087437e-15,-6.617922674707028e-16,-6.500113464078996e-16,-7.572298012232245e-16,-6.706923504814336e-16,-6.523197810687815e-16,-6.689760603418372e-16,3.531310385773815e-06,-4.1852242294955004e-16,-4.842991241849977e-16,5.204678979674787e-06
0,0.850677808,1065,296.9081258,586.2950378,101191.398,0.524104857,0.2NH3,"CH4: 0.612064452990133, NH3:0.387935547009867","O2: 0.21, N2: 0.79",57.29170352895062,52.410485699999995,3.042030483423014e-05,2.8480520706280276e-08,2.549466608432695e-07,0.02331871532390835,3.08154064851184e-05,0.17731611215306978,2.9541698395930368e-08,6.578263493575717e-06,3.7901400128582116e-15,3.5169835241161188e-15,5.000993345146857e-15,3.3840831905927593e-15,1.0461318337907128e-14,7.37374037289287e-15,6.384183775387676e-05,0.07169467450134223,3.942097737283237e-14,1.8027436850798516e-14,4.4884360883521776e-15,8.810615919446723e-15,8.449868980079542e-15,3.696650807637196e-15,6.896946074876757e-15,4.984964863912396e-15,4.357085859826521e-15,8.658363357243929e-15,7.640445724761995e-15,5.466029145634706e-15,7.942209759559832e-15,7.54845798644052e-15,5.5859320192897405e-15,5.753613724052416e-15,7.694033906995184e-15,1.571961045451185e-12,4.972085746381632e-15,0.007556519549095214,0.00010003616684259534,2.538420614939795e-07,2.3743683697274767e-07,4.7359813721666915e-15,1.3322022179977706e-14,8.229676180815818e-15,4.607882452147345e-15,1.123904228737138e-14,9.198243492867191e-15,3.4223942131256947e-13,7.411693132710431e-15,0.7198731733999361,6.460597133954611e-14,8.584599962653556e-15,7.788919129679258e-15,1.008177221694803e-14,8.243602017346672e-15,8.456564516404207e-15,8.357331182471882e-15,3.182718528575531e-06,6.703000354050758e-15,8.211575738625897e-15,5.126124633893319e-06
0,0.90046392,1050,296.9777731,600.7585604,101191.398,0.565764681,0.2NH3,"CH4: 0.612136651506036, NH3:0.387863348493964","O2: 0.21, N2: 0.79",62.700487947389774,56.5764681,8.564403754078173e-05,1.7282867835950475e-07,4.6450425512464623e-07,0.013536745900436048,3.9770933888170315e-05,0.18646001380082652,6.857693046434557e-08,8.12213712983685e-06,-4.693559256520077e-15,-4.8844603386739694e-15,-4.270910166353794e-15,-4.9632937904670155e-15,-6.58137990663842e-15,-5.402622382087984e-15,0.0001550202960599887,0.0754098630007743,8.120952186302957e-13,-7.905658996733813e-15,-4.459822497537373e-15,-6.32238624577717e-15,-6.187302644363035e-15,-4.7751198746609004e-15,-4.5843672627907056e-15,-4.442504146967977e-15,-3.903007235602411e-15,-6.201120808259877e-15,-5.977261656171684e-15,-4.450032971980446e-15,-5.60999933032118e-15,-5.2600102524755465e-15,-4.2782538637690935e-15,5.841488507186602e-16,3.1630670812646486e-15,1.103967433918818e-11,7.867772550004422e-15,0.007692060544326908,6.8579935121273e-05,3.6155264895680776e-07,1.0371179963297707e-06,-4.325938415125061e-15,3.28702310737552e-14,-5.88797086072135e-15,-4.371908697779161e-15,-6.828199835027661e-15,-3.0060567133418337e-15,1.7546569375968431e-12,1.4175849079223542e-16,0.7165337520637692,-2.752532276122176e-14,-6.153726825128807e-15,-6.069227738544458e-15,-6.8520180995863955e-15,-6.150271553477577e-15,-5.993701632270893e-15,-5.431878012269063e-15,3.439441309594748e-06,-3.101569136621073e-15,1.0526557220258453e-15,4.883314852613393e-06
0,0.949716489,1031,297.0730954,617.3071041,101191.398,0.637668324,0.2NH3,"CH4: 0.612254497862018, NH3:0.387745502137982","O2: 0.21, N2: 0.79",71.27911833549342,63.76683239999999,0.00046663118854865196,3.3180914866822968e-06,5.22812804198914e-07,0.004185213120912943,3.953535495231264e-05,0.1953614218149159,2.837157160105637e-07,6.287101624222063e-06,4.662776958207254e-15,4.039265843922515e-15,5.109535518523127e-15,3.644564872662312e-15,3.5059861832721606e-15,3.676267912654331e-15,0.0006318047198120313,0.07864480964567236,1.9628295098285148e-10,4.679354900079935e-12,4.316765399779393e-15,3.7777371702489e-15,5.583914700268071e-15,4.395983931055921e-15,3.6618129364522035e-15,3.983385107676003e-15,3.9710213579571304e-15,3.4528534612970114e-15,4.103577106019913e-15,4.432556754307263e-15,3.6722303577717536e-15,3.958437720709006e-15,5.131073741931037e-15,2.973482316211005e-13,1.7773018526784499e-13,2.1048663975012832e-10,3.5735764575931067e-13,0.0075578528068081284,1.9117391213659653e-05,1.3972372642537925e-06,8.847525547840701e-06,4.088969733923405e-15,7.603267738628563e-13,4.812086236992031e-15,4.268142678549663e-15,2.686249671150063e-15,6.85315182771453e-15,2.4193851810538068e-11,3.142703356795636e-13,0.7130653180420459,8.0051607707127e-16,3.447551619637989e-15,3.859636518617819e-15,3.1890362953949946e-15,3.654673210026386e-15,3.497869566644947e-15,4.7069087002716246e-15,3.1577140648981023e-06,1.532021892252193e-14,9.718308460961777e-14,4.4812788227496e-06
0,0.999527631,1018,296.9429373,636.6089235,101164.7336,0.664366288,0.2NH3,"CH4: 0.612232650256003, NH3:0.387767349743997","O2: 0.21, N2: 0.79",74.58325417367223,66.4366288,0.003998261024960946,9.622214201070896e-06,1.0830438711064088e-08,0.0003042051130044317,1.30505289663049e-06,0.198529395197794,6.280073732106885e-08,6.939054327706156e-08,1.5295991721086233e-16,1.3387208697841164e-16,1.117772917063681e-15,1.1950389081090918e-16,5.275571147070062e-13,1.6973090070311364e-11,0.005058408457935232,0.07701864957089667,3.3309391883411285e-08,4.191123365342445e-09,2.1032101660025517e-12,4.87531571109107e-13,2.5496596773245137e-12,1.4972371629814186e-16,-3.1883851735433224e-16,4.924581021139231e-17,1.479784810794093e-16,5.961216337864679e-17,7.447704584149186e-17,1.0947488910424597e-16,1.0904437468860668e-14,3.5778074063461585e-17,5.002658918726208e-15,2.1626349564808334e-12,3.7687674315306246e-13,1.0713637585104798e-08,1.3956325415385181e-12,0.007051439363576501,1.2039485404545155e-06,3.504939523312831e-06,1.61412648642869e-05,1.8025791001270517e-17,4.550676610826977e-11,1.6600389449231316e-13,7.278227527211629e-17,2.589453628316755e-13,1.5736385496512634e-14,4.702898316501749e-10,6.023255126517464e-12,0.7080025978781493,-5.7489517095001006e-15,3.078186252012258e-17,1.6332554211862262e-17,3.071034659431854e-15,1.017986425742494e-16,3.540190401442701e-13,1.825292247364828e-16,1.116220256624306e-06,2.6532762054110167e-13,3.836477766964744e-13,3.95796767276441e-06
0,1.049174239,1083,296.9807058,635.9363282,101369.1607,0.670580882,0.2NH3,"CH4: 0.612135113397983, NH3:0.387864886602017","O2: 0.21, N2: 0.79",75.26571891846879,67.0580882,0.00969850741336215,7.804239338678984e-06,7.544111348516616e-10,3.383873699977099e-05,7.326547968009389e-08,0.198170826976917,7.826910960535475e-09,6.659990456297613e-09,-1.2881455135034778e-16,-1.0839723970599095e-16,6.342058671053859e-15,-4.2565701463324454e-17,4.146880148580201e-12,1.2971480992013264e-10,0.012950035307747264,0.0712795918541084,1.2098638475274872e-07,1.3253916258589779e-08,2.2800555933043276e-11,1.208288279906828e-12,1.7157433868276483e-11,-1.16439663407881e-16,-3.355961452426143e-16,-1.400887791154538e-16,-1.98836682417449e-16,-1.462231438756358e-16,-1.985146428750674e-16,-1.4328648473894088e-16,2.1388099360513216e-13,-1.520101540571962e-16,3.609226890932375e-15,1.847830200819867e-12,2.096918871732298e-13,5.8565236355039946e-08,1.1809303764014329e-12,0.006310932988209355,1.535089572367762e-07,3.196346359492656e-06,1.416738296685643e-05,-1.6780809338050205e-16,4.6042994421188107e-10,1.3498587842497814e-12,2.737473706893889e-16,1.575015549533033e-12,7.086680202045422e-14,1.6805175285422586e-09,1.2257577259170225e-11,0.7015265663100959,-3.748028781467566e-15,-1.353073168667269e-16,-2.004465325693397e-16,6.083731814574341e-14,2.6963497016805484e-15,6.23033367422307e-12,-7.19168198653617e-17,7.580370950625306e-07,4.680831651744207e-13,3.046333290748973e-13,3.3372437612340236e-06
0,1.09941892,1093,297.5655141,637.6975425,101358.0505,0.647131957,0.2NH3,"CH4: 0.611987375081853, NH3:0.388012624918147","O2: 0.21, N2: 0.79",72.3059760692854,64.7131957,0.016013616992319162,7.388522315751487e-06,1.3893506096489626e-10,6.9557283756750745e-06,1.5152549204529703e-08,0.19744682079308162,2.0929759015729227e-09,1.9247767365826725e-09,7.373308084757849e-16,2.309439331753381e-16,1.659851695089896e-14,2.6901339955182405e-16,8.873972850699226e-12,3.030225680215518e-10,0.020825756518523378,0.06549111079238804,1.9868726404012757e-07,2.177387904964866e-08,5.187322134352462e-11,1.7286910415432354e-12,4.0221719351712054e-11,3.2771149419292635e-16,4.5314123104150824e-15,2.582916670268453e-15,2.2577430231900416e-15,2.277014971511674e-15,2.6041337941729942e-15,1.4481643363138244e-15,8.064497552012618e-13,2.6272086447151938e-15,5.751598383385272e-15,1.865441815975428e-12,3.0654902832873143e-13,1.5719937415487093e-07,1.139453895778596e-12,0.005370218309107435,3.564013967753942e-08,2.7501165458617374e-06,1.2064185056255506e-05,2.710947767305231e-15,1.882452644551213e-09,5.292593750514046e-12,3.966353401883081e-15,3.1072675348745988e-12,1.523355830626976e-13,3.3329122087503637e-09,1.8292647147331254e-11,0.6948196294185243,-3.1727556059368562e-15,2.626263946284136e-15,2.857189562990638e-15,2.303032806105719e-13,2.1761397243917267e-14,1.5665472579421565e-11,6.536950434860591e-16,5.876277340921471e-07,6.792558517680073e-13,2.351852593816358e-13,2.6627172031855093e-06
0,1.148836453,1072,297.6450175,635.366377,101358.0505,0.601813352,0.2NH3,"CH4: 0.61204858893016, NH3:0.38795141106984","O2: 0.21, N2: 0.79",66.65674402289778,60.18133519999999,0.022595402446709816,8.063209730855432e-06,4.93246468077275e-11,2.101264091617413e-06,6.569316078027338e-09,0.1961350094915954,9.85357464208273e-10,9.393298365492916e-10,-1.834342900385638e-15,-2.3002068702124774e-15,3.834648644975449e-14,-2.11386366601754e-15,1.756210137314881e-11,7.693039245610075e-10,0.02774502219296957,0.06074925261706122,3.0554583243435463e-07,3.887382324295373e-08,1.0383205846165408e-10,3.1521415573404533e-12,9.927915485597745e-11,-2.2302850758015133e-15,3.2113658645413955e-16,-1.3078985309746943e-15,-1.2779862656628114e-15,-1.3687191835276065e-15,-1.2475529627835024e-15,-1.3454089436223015e-15,2.4960627627386373e-12,-1.2857933734077313e-15,5.2471998540015346e-15,2.091243384353835e-12,6.179190538211517e-13,3.124600431741348e-07,1.2232085728866099e-12,0.004251070981844918,1.2261850941591354e-08,2.335577057213589e-06,9.996519385555784e-06,-1.0802691233845066e-15,3.0326855912750734e-08,1.0343507684200726e-10,1.9592325163181685e-15,6.172546779176614e-12,5.237025995085791e-13,5.215697849078362e-09,2.7063777851774864e-11,0.68849857243116,-3.481781994574903e-15,-1.3169330740993286e-15,-1.1313527635055378e-15,7.723933263397641e-13,9.177350523909837e-14,1.980371291915357e-11,-1.941546927020283e-15,4.4127847003383076e-07,1.0205775238814047e-12,1.9112657427872512e-13,2.017603839246554e-06
0,1.199407704,996,297.7291096,629.8121144,101358.0505,0.538478856,0.2NH3,"CH4: 0.612237581894819, NH3:0.387762418105181","O2: 0.21, N2: 0.79",58.90281672425385,53.8478856,0.029663535494411298,1.0435867737688252e-05,3.0200199032985315e-11,7.194098464264524e-07,4.218314222585037e-09,0.19408547782208563,6.759998215985426e-10,6.059190104299853e-10,6.428379341028245e-17,2.3380031638804456e-16,1.6532500240100187e-13,1.0401807781340228e-15,4.319003111032982e-11,2.8864330052423263e-09,0.033940816583435236,0.05695478295517455,5.077147673938455e-07,8.728555959203832e-08,2.533617916635911e-10,8.489398227829205e-12,3.334958259622917e-10,1.1658671782934456e-16,1.6456469841886122e-13,1.5849906505068402e-15,2.799468225895818e-14,9.355568257899264e-17,5.12342935127598e-15,8.3914573885118e-16,9.500430767609122e-12,-5.0516950009097014e-17,1.6947408979647006e-14,2.8880321716454415e-12,2.1779986324385334e-12,6.156759692812264e-07,1.5326366780698804e-12,0.0029644506104111843,4.75806786668064e-09,1.855244600192159e-06,7.590975973533603e-06,8.297418554277635e-16,2.019597232648054e-06,1.0685198099012564e-08,1.4693429470452063e-14,1.587860382723536e-11,1.2265195015340735e-11,1.3015438519565247e-08,4.4471491082308456e-11,0.6823653177483484,-6.842867904183377e-15,-6.493659045472652e-17,2.5806867430380406e-17,3.460127319505111e-12,5.102403987367596e-13,1.544717360344843e-11,2.981432826810803e-16,2.8660991415305785e-07,1.933853575386921e-12,1.8297564148688398e-13,1.4627797830360224e-06
0,1.249329628,1004,297.0269905,618.5681883,101202.5082,0.46403298,0.2NH3,"CH4: 0.612166594457466, NH3:0.387833405542534","O2: 0.21, N2: 0.79",50.00319436357768,46.403298,0.036680581891118384,1.6126155533831976e-05,3.440220162101306e-11,2.3393431061902253e-07,3.421189023824843e-09,0.1915316872194189,5.821031990025304e-10,4.370990688150731e-10,2.4607584923727105e-16,1.6317710534187588e-15,1.1856169204155803e-12,4.78074008963608e-15,1.4804480104471592e-10,2.2703453307687438e-08,0.03926207755615395,0.054092690242167396,9.185167076673126e-07,2.5128973744182956e-07,7.724245180360731e-10,3.402620094466004e-11,1.550815919324496e-09,4.014566645113629e-16,3.5606390747564796e-09,4.0097270317672016e-11,6.875124693037372e-10,2.9572425136366195e-12,1.8310241808354388e-10,1.4302331163326705e-14,4.685685865387283e-11,1.803932378293748e-15,9.314687792909353e-14,5.670901542082183e-12,4.147462213988538e-11,4.18313764634073e-06,2.2078242176382216e-12,0.0016365404239402754,1.588935478707796e-09,1.48887585344122e-06,4.738875725847799e-06,1.971276784645869e-14,5.5740539333737425e-05,6.089917987879165e-07,1.2132902934777867e-13,4.969661578349789e-11,1.249378571192438e-10,1.1086934379668547e-07,8.399618355553041e-11,0.676710769464,-1.1248858193149788e-15,1.0988962088124e-16,4.164001575823941e-16,2.0693344697976943e-11,3.104447368020735e-12,7.470922542648804e-12,1.78390623766866e-15,1.335403198091644e-07,1.6826508225949162e-11,1.4802046666240305e-12,1.0823242270152495e-06
