,phi,grid,T_in,T,P,vel,blend,H2,NH3,NO,N2O,O2,H,O,OH,HO2,H2O,H2O2,NO2,HNO,N,NNH,NH2,NH,H2NO,N2,fuel.NH3,fuel.H2,oxidizer.O2,oxidizer.N2
0,0.948508687,1011,297.4138889,572.3076525,101058.076,0.208985863,0.1,0.0007151729912331028,2.3052888859150862e-10,0.003665758592512369,9.233389265366717e-07,0.0010912096185603521,6.851266983192309e-07,7.008200814403266e-10,2.707378001029626e-06,4.431358929978831e-08,0.2897976105442168,5.81490353868387e-07,4.640270400391863e-06,5.158441938783766e-06,7.767619741375281e-16,6.450938466489206e-14,1.7654682408383056e-14,7.30568444869587e-15,1.492375819900711e-11,0.7047155069472061,0.9,0.1,0.21,0.79
0,0.949139785,1007,296.7,570.8110924,101058.076,0.211743555,0.1,0.0007965287725285485,2.9445217355510104e-10,0.003622964360648741,9.965259204847215e-07,0.0009908131185176199,7.114973355354997e-07,5.062638296223447e-10,2.2648935208846267e-06,4.244929170881224e-08,0.2898745438947502,4.771452605993804e-07,4.246530761935734e-06,5.8877826554381355e-06,3.577222999722211e-15,7.013389353150889e-14,2.1163840813097787e-14,1.1163720650476675e-14,1.6039951133001115e-11,0.7047005222119463,0.9,0.1,0.21,0.79
0,0.949139785,1004,296.66,566.8110924,101058.076,0.211743555,0.1,0.0007964209525960548,2.954328351035036e-10,0.0036217832447111007,9.974724189317857e-07,0.0009907058512059288,6.832183733080276e-07,4.598691440828284e-10,2.2372599719239015e-06,4.1296259829329205e-08,0.28982607245184816,4.804159933568074e-07,4.294304184144146e-06,5.8750851392571536e-06,1.9866954318363997e-16,6.132282228749022e-14,1.72576862881379e-14,6.653643873612984e-15,1.6047342220912382e-11,0.7047504076758634,0.9,0.1,0.21,0.79
0,0.949441078,1010,297.3986284,572.0977556,101058.076,0.208848719,0.1,0.0007667482214194655,2.713784372300585e-10,0.0036588607417883646,9.704059654795947e-07,0.001015870551444127,6.916836332054813e-07,5.367286854076473e-10,2.3359622250340294e-06,4.1749130585159034e-08,0.2898899643849437,4.951247321739225e-07,4.316140954766807e-06,5.6933671899862655e-06,3.67532173637392e-16,6.515214711341629e-14,1.735271570919029e-14,7.639192431629343e-15,1.558532643982902e-11,0.7046540108427902,0.9,0.1,0.21,0.79
0,1.000324969,938,297.3100962,585.6070246,101058.076,0.222146603,0.1,0.007648506713995433,7.110098386678664e-08,0.0025823923423248063,1.64350269432194e-06,1.3614666075049361e-05,9.159514205642662e-07,3.683935000911979e-12,7.157197048686405e-09,9.914993315288025e-10,0.28974365643481675,2.0896809516951173e-09,5.4326032634835964e-08,1.0307057996389897e-05,7.09113121087252e-16,1.0227949810094926e-13,2.44614619253733e-14,3.801115796104741e-14,5.096194241489418e-11,0.6999988276104715,0.9,0.1,0.21,0.79
0,1.001242671,938,297.47,585.6489527,101058.076,0.225308884,0.1,0.007844231892539482,7.552491156148257e-08,0.0025400836631587873,1.6333783931193766e-06,1.2836696281579584e-05,9.67502908460027e-07,3.897700948609944e-12,7.066859318766294e-09,1.0025092703044156e-09,0.28967950355901245,2.0618155184557114e-09,5.1595793645620375e-08,1.0255512906994318e-05,-6.010960497755804e-16,1.0650974514412284e-13,2.4690395177122994e-14,3.9412171098322733e-14,5.169892810036426e-11,0.6999103504871432,0.9,0.1,0.21,0.79
0,1.049896254,887,296.8262063,587.8410704,101058.076,0.230942161,0.1,0.016156082849268824,4.698279888634904e-05,0.0006470942352790056,2.502417157240645e-06,8.410908174254774e-07,7.58750063955258e-06,8.182734054115416e-11,6.288902779007197e-09,1.52613668552326e-09,0.28784365111269794,1.2041838915305385e-09,3.5182983114524955e-09,3.955588954123541e-06,4.9771400837228144e-14,8.527758747124516e-13,1.481333710655048e-11,6.383570031563468e-13,3.1084457316411466e-08,0.695291258686139,0.9,0.1,0.21,0.79
0,1.051014449,884,296.8,595.4044369,101058.076,0.234586865,0.1,0.016404908863806057,6.981714910809226e-05,0.0005766792511180698,3.2472620150985216e-06,7.721847192915787e-07,8.75584399400423e-06,1.1995971913599205e-10,7.499027587405764e-09,1.6568801013482829e-09,0.2878621797231578,1.205659607689563e-09,2.9653677519081615e-09,3.4792789233726252e-06,9.580961546387959e-14,1.04538864703836e-12,2.963690589719742e-11,9.261546048779346e-13,4.6333225881546176e-08,0.6950701006313335,0.9,0.1,0.21,0.79
0,1.098083066,854,295.4169142,587.3681793,101058.076,0.233455974,0.1,0.021147245357364074,0.004150593790175501,2.318417618668635e-05,1.487224143448758e-05,1.1526323919028584e-06,7.912576024396237e-06,1.3590021860868927e-08,3.5064453394242752e-09,7.713345502062473e-09,0.2851666721034943,2.9518940967268696e-10,1.287727445185252e-09,1.4430548568153524e-07,9.772430703546826e-09,8.820379913976778e-13,1.2731384305235251e-09,1.0947313597106314e-09,2.6014858955631733e-06,0.6894855827976353,0.9,0.1,0.21,0.79
0,1.143979077,835,295.47,584.1233883,101058.076,0.236629103,0.1,0.02339828220172267,0.010784628277142312,7.610106977460711e-06,1.371576287601717e-05,4.71443729573467e-06,4.008708942796105e-06,1.59895973419344e-08,2.2186579564571303e-09,3.0708192262774e-08,0.2824344238856067,2.666018783673439e-10,1.9181794912539567e-09,4.649201749475922e-08,5.754226969081102e-08,4.3481747258598967e-13,5.039322580464698e-09,6.578366217233465e-09,7.79772199198798e-06,0.6833446521438046,0.9,0.1,0.21,0.79
0,1.148791339,839,296.1009852,578.501861,101058.076,0.231672638,0.1,0.023674518789572194,0.01131417918102988,7.059666849474659e-06,1.3207895557826874e-05,4.316644582932329e-06,3.836723781009688e-06,1.544090176908925e-08,1.9499050512481833e-09,2.869002790443141e-08,0.2821382722914611,2.4863374902286685e-10,1.7894937894852061e-09,4.4212418117439795e-08,5.966122806162733e-08,3.95488870142222e-13,3.9671308706925835e-09,6.586379451197507e-09,8.179619247031495e-06,0.6828362666414044,0.9,0.1,0.21,0.79
0,1.149938165,839,295.9741265,580.5153633,101058.076,0.231461345,0.1,0.023731634936117744,0.011499690685361394,6.907961092593038e-06,1.3170956900624086e-05,4.4419629034894815e-06,3.7852128560416345e-06,1.524311139286503e-08,1.940463058540701e-09,2.925861398437575e-08,0.28209180939767736,2.519728396806126e-10,1.7750049453160109e-09,4.298816136728869e-08,6.152711427191756e-08,3.974068682959771e-13,4.528879614458111e-09,6.9197136788875125e-09,8.330454608070882e-06,0.6826400639990502,0.9,0.1,0.21,0.79
0,1.197214449,841,296.16,564.741262,101058.076,0.227269973,0.1,0.024920654055160082,0.019143309471455917,3.6547271674029746e-06,1.2788251895689832e-05,1.1220899396025245e-05,2.361992999464552e-06,1.1094744013399589e-08,1.7242405913749857e-09,7.48384814427552e-08,0.27929159044113605,5.740806290848788e-10,3.144371503728017e-09,2.6541982890627005e-08,9.485373783986057e-08,2.1532442546515837e-13,5.1828667006714156e-09,1.3027423895063807e-08,1.4548802755499051e-05,0.6765996403758889,0.9,0.1,0.21,0.79
0,1.197710705,841,296.8348333,560.9445556,101058.076,0.223850937,0.1,0.025029567948579162,0.019016596945602614,3.638669815937113e-06,1.2371555335663799e-05,9.78066267664321e-06,2.3726219542305384e-06,1.096721259111868e-08,1.5829342659500177e-09,6.637602220266939e-08,0.27926506712425925,5.006876085345784e-10,2.8358292482114e-09,2.6607951556017758e-08,9.303699581940178e-08,2.0897775530764494e-13,4.034487877054713e-09,1.228737720256929e-08,1.4428756512016391e-05,0.6766459574855571,0.9,0.1,0.21,0.79
