,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,OHEX,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,N,NO,NO2,N2O,NH3,HNO,H2NO,NNH,NH2,NH,N2H2,N2H3,N2H4,H2NN,HONO,HNOH,HNO2,HONO2,NO3,HON,CN,HCN,HNC,H2CN,HCNH,NCN,HCNN,HNCN,NCO,HNCO,HOCN,HCNO
0,0.6146893744,978,294.247107438,513.4840220386,101325.0,0.2571891743,0.3,,,0.7211135981368555,9.643797921612327e-16,2.684995610646834e-16,-5.711632081444756e-16,0.05916511297415494,1.6447566781048445e-11,-1.1935761724604487e-15,5.088134867896845e-06,0.21447864746663686,2.0073041533869985e-15,1.6981360679110573e-07,-7.786235751031666e-15,5.980249303133118e-13,-4.679341495311654e-16,-2.0583814286368553e-16,-9.912981426362293e-16,-7.277233996365956e-16,-2.2748136579757878e-15,-6.469866450923325e-16,-2.0690648808770708e-16,3.497047189347336e-15,-9.655461549798535e-16,-4.384224553437036e-16,-6.900406495821429e-16,-2.2276383628430445e-16,-5.438575642717178e-16,-6.509032343105239e-16,-3.4147285956209925e-15,-4.800252862652341e-16,-7.136676391392513e-16,1.0480524486635019e-15,-4.3107134758663046e-16,-9.83107666382188e-16,-2.79640732188695e-16,-3.2160288352353806e-16,-6.508825953360537e-16,-8.497186841175344e-16,-6.254754138645496e-16,-6.816325669124925e-16,-7.588407119103274e-16,-5.691449868814674e-16,-4.861068275398601e-16,-8.823044326234872e-16,-8.033176958792958e-16,-7.923495244078726e-16,-1.2470507322851777e-15,-6.765528001386789e-16,-6.143617649365975e-16,-3.84300077207674e-16,-8.794487567263896e-16,-8.070422303023303e-16,-6.783414011897651e-16,-3.66239030358398e-16,-2.614326112075362e-16,-4.513743114930531e-16,-1.2663621524134716e-15,-2.23985135203188e-16,-1.8379784399469158e-15,-4.857177207967275e-16,-5.206495110225949e-16,0.004751811371442295,0.00011704997562229066,0.0003064255443708751,5.0960272733767805e-12,8.294975796890061e-10,4.867627788569907e-13,-2.0583917237944979e-16,-6.121712545344364e-16,-4.908913743824268e-16,-1.0828967085690509e-16,-6.683206840100815e-16,-7.031117054598579e-16,-8.113047301532829e-16,6.19601348355811e-05,3.947613899744545e-15,3.7593714750488395e-11,2.2730058975220763e-10,-2.2348022509705454e-16,1.3533063355550197e-07,-2.819286291983582e-16,-1.4396636610385927e-15,-7.060469964173733e-16,-7.196116545471144e-16,-8.649742598572834e-16,-7.014762942437786e-16,-9.152390833208737e-16,-6.799839308134709e-16,-1.313751534910653e-15,-1.8668382951730415e-15,-8.707915379374006e-16,-1.2801429208900073e-15
0,0.6447819894,942,295.0371900826,517.7053719008,101325.0,0.2675474274,0.3,,,0.7188269667583651,7.64576782769534e-15,4.84823680755177e-15,-2.7263961676426574e-15,0.05437401836834172,2.1933925234590215e-11,-1.2826080383053066e-15,4.5908466096834244e-06,0.2210662409445136,4.910021203442472e-15,1.5758553220054502e-07,-1.184192261347841e-14,5.434803738291659e-13,-5.017029814565203e-15,-5.456668428852863e-15,-3.060184385325027e-15,-3.9927827769295945e-15,4.350983095974737e-15,-4.6351360388598275e-15,-5.454765497972504e-15,-7.552426979958523e-15,-3.912690392695129e-15,-4.965462468461635e-15,-4.136038898229885e-15,-5.43269147567094e-15,-4.630402577655826e-15,-4.445893527682965e-15,1.5350860465407084e-15,-4.905178081858817e-15,-3.846740905272863e-15,8.05181143613429e-15,-5.096911676109483e-15,-2.5365925589863394e-15,-5.350479578030667e-15,-5.264811168204524e-15,-4.027321836868656e-15,-3.2956271950305593e-15,-4.083171818344864e-15,-4.019509522348436e-15,-3.583420368290076e-15,-4.558802190837663e-15,-4.996136571162234e-15,-3.8680653334842746e-15,-3.851848536383748e-15,-4.016565754168757e-15,-4.171117145876462e-15,-4.021066417300226e-15,-4.1948671289440095e-15,-5.132509392149275e-15,-3.187370427013906e-15,-2.7990769118943227e-15,-4.247198568026514e-15,-5.178627960707925e-15,-5.367223915049687e-15,-1.226755486149363e-14,-1.0504561967536808e-15,-5.421171613912247e-15,3.0347328562354664e-15,-4.899776684397883e-15,-4.843211831340479e-15,0.005504192095375465,0.00011667168377939779,4.186254930882316e-05,9.559693326768226e-13,9.395996534431584e-10,8.991007855243569e-14,-5.454522362980839e-15,-4.298841980060543e-15,-4.94121195251432e-15,-3.995724229868041e-15,-4.09748278795152e-15,-4.018286142306294e-15,-3.894176405155999e-15,6.517008762866569e-05,-2.9229216107037936e-15,4.587539932244091e-11,1.82971068152993e-10,-5.06532524068227e-15,1.2788884141632934e-07,-5.333071284768077e-15,-5.919530913603518e-15,-4.029828649616951e-15,-3.7242762982653735e-15,-4.002374453191809e-15,-3.966818279494609e-15,-3.134973775576315e-15,-4.019723304288793e-15,-1.6476919408552652e-15,-5.989927215126447e-15,-5.205932454758126e-15,-1.691537391558052e-15
0,0.6993829903,1004,295.9326446281,496.9161157025,101325.0,0.2831769049,0.3,,,0.7147432871976932,2.6419226588263265e-15,2.7393251516046748e-15,4.4610884451213997e-17,0.0448118818919376,1.6460608563907502e-11,-3.6226591571294104e-16,5.98068549383375e-06,0.23367659177369507,2.8077021125817018e-15,1.8011820050186462e-07,-4.852186266062518e-15,2.2253352085484187e-13,-8.250858697414676e-16,-1.0196736352243907e-15,-9.194664428312707e-16,-7.842652669774576e-16,-5.313820951777115e-16,-6.523226988227647e-16,-1.0189122808997854e-15,-6.798061046323925e-16,-9.339804019488895e-16,-8.332925024623341e-16,-7.881668797225266e-16,-1.0075493545129161e-15,-9.960690719023168e-16,-6.781223638270835e-16,-1.1612146298230123e-15,-7.917618474152965e-16,-8.216778480520516e-16,2.6810300685528064e-15,-8.741912526324353e-16,-7.160991031239136e-16,-9.683249642348014e-16,-9.174049073353543e-16,-6.656812018612841e-16,-7.821241177566008e-16,-7.647680987056731e-16,-7.543180074378714e-16,-6.404026734916256e-16,-7.365756563339558e-16,-7.602101349891439e-16,-1.2349090020677355e-15,-7.830985177878444e-16,-1.1105795140323285e-15,-2.9338336447426408e-15,-7.551871771004348e-16,-7.527472900363435e-16,-8.674046508230659e-16,-5.9734795427031e-16,2.1464758914634824e-16,-8.150156412279554e-16,-8.808353938287504e-16,-9.686839237261274e-16,-1.2184618244754824e-16,3.3963453691362615e-17,-1.0088120460484977e-15,7.4965095812493e-16,-7.808828771467848e-16,-8.130967729447286e-16,0.006557431845617061,0.00012610849808757842,5.650007924349261e-07,6.579341091307903e-14,1.6743744401794742e-09,8.083895488594565e-15,-1.0195302726750038e-15,-7.447978194651186e-16,-8.388950045197453e-16,-7.178695185236065e-16,-8.264841267727591e-16,-7.064126358740389e-16,-8.270504991439948e-16,7.785026527331194e-05,-5.417292394609255e-16,5.195236899021666e-11,1.230324952833845e-10,-8.681341708490361e-16,1.208571404296643e-07,-9.511575180046299e-16,-1.2851804117998402e-15,-7.084422013878489e-16,-5.36285413358238e-16,-8.418188659480124e-16,-8.009853647269252e-16,-4.0051847420392144e-16,-7.7876819222388415e-16,-1.1099753690424504e-16,-1.8740566003321003e-15,-9.522110103609283e-16,-3.311410382379879e-16
0,0.7002137561,1007,294.1599173554,494.6993112948,101325.0,0.2818359501,0.3,,,0.7146909765964798,-4.6128132486912446e-15,-4.475528721553346e-15,1.1396058859063323e-15,0.044633482146241646,1.4882289243799935e-11,1.2294001224120596e-15,6.018226847213891e-06,0.23391717272271897,4.559229135545346e-15,1.8072287003341966e-07,9.919861863154814e-16,1.7320642622957887e-13,-2.706175494498563e-16,-4.524240857197587e-16,4.540222310050851e-16,1.0957128962647632e-16,1.5609764374381557e-15,-6.192308176681137e-17,-4.519215904590981e-16,-5.856263410381304e-16,2.4540225572395204e-16,-2.4958810515525387e-16,1.2788602216520336e-16,-4.444724261289584e-16,-1.0622293811690256e-16,1.906444923404145e-17,2.4999244879682325e-15,-1.8300035007021365e-16,2.2633827945488998e-16,-4.504792488829076e-15,-3.1828395783082203e-16,-2.324381818045232e-16,-4.136847837031805e-16,-3.665261577315988e-16,1.2823773164506593e-16,4.535920854569113e-16,1.9646516711294042e-16,1.633972894884592e-16,8.995478624371946e-17,3.3988517436553425e-18,-1.2942104513140697e-16,8.62258236860168e-17,2.0196652350510214e-16,1.2397770828473086e-16,-2.5470230583691397e-17,1.6707315821309658e-16,1.0632704427529929e-16,-3.0594004760089323e-16,4.856127680923552e-16,1.7002984735242264e-16,1.1259050890970253e-16,-3.244648490130658e-16,-4.128505447791194e-16,9.384470763641336e-16,8.152347501314375e-16,-4.424439329171726e-16,8.553286188933953e-16,-1.605727390504137e-16,-2.258425908492585e-16,0.006547440062180595,0.00012610211447214463,5.69252805744773e-07,6.746273113763093e-14,1.6882409020697368e-09,9.224974457130523e-15,-4.514769887412241e-16,5.4449060386811855e-18,-2.6907573901521317e-16,1.3452012627250568e-16,1.2246037540165576e-16,1.677000290862504e-16,2.16415621597404e-16,7.79352325550548e-05,2.905399096739977e-16,5.178322412438414e-11,1.2267885215269728e-10,-3.2255000258165877e-16,1.210449927108993e-07,-3.9907429646141335e-16,4.462976040171115e-16,1.6261305080892135e-16,1.3872311317915086e-16,2.3890002921600976e-16,1.3679918481414863e-16,3.626419267671843e-16,1.3249973530261938e-16,8.686229170209022e-16,-1.6552143918961494e-15,-8.939873145040595e-17,1.23611451697955e-15
0,0.7501325861,1044,294.4524793388,504.3887052342,101325.0,0.2999479385,0.3,,,0.7109484245492742,3.2685969178447232e-15,2.2216607353520944e-15,6.827839165229177e-15,0.03553560941446542,5.730581042930968e-11,-1.9516464547411162e-16,1.0077216238219e-05,0.24597343755484385,1.640386911933303e-14,2.2645741867841824e-07,3.8792006900236424e-15,-1.0729510324225887e-12,-4.4318017159527846e-16,-3.7055187088602937e-16,-7.136444149879579e-16,-5.203988279577701e-16,-1.6684715380151793e-16,-5.213244065964619e-16,-3.70854045282133e-16,-4.7167403306530295e-15,-8.559859317063728e-16,-4.526567220063788e-16,-5.215930212796779e-16,-3.7517886813771173e-16,-5.019636521170411e-16,-5.115267410235802e-16,-2.6022686102807444e-15,-4.658291157678758e-16,-5.865229077291941e-16,3.4944187413530025e-15,-4.1861017107897987e-16,5.48662504076665e-16,-3.8655385070565855e-16,-4.1232950247523044e-16,-4.44975821556019e-16,-5.20069971890882e-16,-5.145782542495999e-16,-4.967829679056216e-16,-6.080479033266772e-16,-4.951313763551407e-16,-4.581523330233251e-16,1.438049416142583e-16,-6.269264167988531e-16,6.525033776262908e-17,3.790143196116536e-15,-4.898506468568528e-16,-5.142263727041e-16,-4.331836121680049e-16,-6.016042097295937e-16,-1.9804013740008187e-15,-6.086491006615385e-16,-4.2623044617872755e-16,-3.8864287657027606e-16,-2.2707376477001852e-15,9.463393483437724e-17,-3.7224745329172136e-16,-4.089280462092673e-16,-4.687858877036182e-16,-4.459123731421149e-16,0.007301556485683498,0.00013703210831306082,1.750927626260946e-07,9.850242075376377e-14,3.521194872463361e-09,1.302268695453409e-14,-3.6887367128602136e-16,-4.926656323287036e-16,-4.3490910157974087e-16,-5.238872302755613e-16,-4.571770104076339e-16,-5.448762714316513e-16,-6.667316916896214e-16,9.334045998060208e-05,-3.9554276176694357e-16,5.065241898261007e-11,7.87805324855691e-11,-3.016097712892592e-16,1.1695404298903413e-07,-3.9844338908819626e-16,5.976104467141082e-16,-5.462694285711668e-16,-5.143834060137987e-16,-7.845010492445405e-16,-4.723508280328875e-16,-5.203134215339022e-16,-4.9475096707916e-16,-7.206687918862101e-16,2.4554158072271574e-15,-1.157008659560731e-16,-8.792774337157312e-16
0,0.7992536035,1032,296.5227272727,512.2807162534,101325.0,0.3048324033,0.3,,,0.7074415054378448,5.7519417516005166e-15,5.596828205076106e-15,8.103556871322674e-14,0.02684357249047318,1.7469121391063553e-10,5.567474308412378e-15,1.8010259250349885e-05,0.2575879448356663,9.718997715820208e-14,2.838764274246094e-07,-1.6252286445799622e-14,2.602033420907659e-13,4.390884923143901e-15,4.710748642975735e-15,2.658802595536461e-15,2.1810257440882656e-15,-1.8383362380989995e-14,4.0623334121016565e-15,4.70787382577483e-15,2.0944758146268698e-14,2.087873869748305e-15,4.294822486561723e-15,2.3555432457626268e-15,4.688677884192182e-15,2.8402899939818806e-15,4.1316020880266636e-15,-6.737871402682452e-15,4.287863981666836e-15,3.411912115878528e-15,5.871164054764872e-15,4.51192550991428e-15,5.263563794770037e-16,4.629705239188097e-15,4.492619970027038e-15,2.158449297993735e-15,6.694121967583325e-16,4.019930405963383e-15,2.3445539372720293e-15,2.2178715691931464e-15,4.126111686973937e-15,4.4127844653844205e-15,3.0671175906596562e-15,2.645295778325145e-15,3.1372954102860492e-15,8.44419994747544e-15,2.366211817815395e-15,3.935804720731178e-15,4.4046272446738364e-15,3.4358693299905775e-15,-7.75043696298051e-15,2.2875638753542117e-15,4.435583910341887e-15,4.5865769166683085e-15,3.1233089169626155e-16,-1.0043434181613842e-15,4.6674620368661364e-15,-4.533991280344406e-15,4.282013062646251e-15,4.4205792196857374e-15,0.007858301854269065,0.00014054610397800743,1.7855339793444236e-07,2.123807885098891e-13,8.015621766410646e-09,2.6412537344055504e-14,4.709649389571206e-15,4.187801150117777e-15,4.460417686011617e-15,2.249057072563115e-15,2.420380902524601e-15,2.24457958057702e-15,2.734283095603783e-15,0.00010953400581158335,2.7288671191684903e-15,4.4851786567254055e-11,4.7966148928888546e-11,4.718846291636306e-15,1.1429889555371011e-07,4.552100521292858e-15,2.7432094406985205e-16,2.266363649112065e-15,2.0530411073900526e-15,2.6435501742490167e-15,2.2926661742566936e-15,1.2743971210878166e-15,2.300069310707602e-15,-1.0778920178676848e-15,5.299010660141918e-16,2.652987906178529e-15,-3.0459139025917322e-15
0,0.8501729796,1012,294.7871900826,523.6608815427,101325.0,0.3394528477,0.3,,,0.7038841805096743,7.45806512429107e-15,9.076189183983742e-15,2.6533221749328545e-12,0.01755456365402278,9.606835167349562e-10,4.542250007920544e-14,4.274636839549421e-05,0.2701003741565324,1.5829167640152542e-12,3.991790083714815e-07,-6.948692866952662e-14,4.793813594916316e-13,4.224329287567002e-15,1.976624494988591e-15,3.4221657234004367e-15,2.717519627281323e-15,-3.414323104161477e-14,6.720693320295664e-15,1.987809818082022e-15,2.6946882097557997e-14,1.998509662891159e-15,4.743006708938724e-15,1.747615543474225e-15,2.120773209626492e-15,2.613492156947797e-15,4.881649454520572e-15,-4.159538276013339e-15,4.779853892951823e-15,3.6175946557451805e-15,6.739628910173043e-15,3.3440617083850915e-15,-4.792997928018104e-15,2.489958096552514e-15,3.874003314363008e-15,5.187391723149456e-15,-4.795379182125972e-16,5.04798906429098e-15,1.840262624738797e-15,2.27096928935206e-15,4.87612256709297e-15,3.703927923340655e-15,4.91275229087167e-15,2.791507691979166e-15,3.648655744316738e-15,5.642347062491337e-15,1.8265477968587406e-15,4.4496265125165944e-15,4.3172537336288065e-15,4.64085101443603e-15,-7.285884624550138e-15,1.154709306860554e-15,4.256907850983346e-15,3.1249964381235996e-15,1.113940641790217e-14,8.164133534033782e-16,2.491367080470385e-15,-3.0329921308188223e-15,4.810444609834758e-15,3.945658218512886e-15,0.00815539746758434,0.00012693724861834047,2.0365647038563853e-07,6.82101965136384e-13,2.968463431867826e-08,5.720162284029525e-14,1.979069042263388e-15,4.768540508625918e-15,3.703022593678129e-15,2.3451245593622104e-15,1.639321420968945e-15,1.7418560415992206e-15,2.919645176925313e-15,0.00013505377561436627,3.770433351244287e-15,2.8613565063602313e-11,3.252547097225905e-11,3.0473821821293496e-15,1.1327202260881287e-07,3.419688241388903e-15,-6.413710427472908e-15,1.4055818406349959e-15,2.764132450358795e-15,3.028071475454159e-15,2.7769364438664767e-15,3.1994130139162904e-15,2.6903465284456824e-15,1.349401880343377e-15,-1.0371329059988563e-14,1.5645928611227107e-15,-2.7174194258193973e-15
0,0.9003379917,984,296.5417355372,537.370661157,101325.0,0.3723374876,0.3,,,0.7005469409354534,-2.92765788543929e-15,-2.8581896326681146e-15,4.961468358368369e-10,0.008657870676086627,7.097053871064768e-09,9.492222742717424e-13,0.0001408434785497323,0.28222949917533346,1.2192942952359932e-10,5.571532377215435e-07,-1.6103291396279448e-13,-9.2696520912599e-13,1.345155672327479e-14,1.2556336103012097e-14,8.287210418215809e-16,6.212974044302866e-15,-1.0703075825092176e-13,1.2848146033114711e-14,1.255765785952918e-14,-3.500053460716306e-14,5.140533333465165e-15,9.873406194062397e-15,3.516337036005773e-15,1.2742412010252898e-14,2.3931338864896762e-15,1.2828157452511955e-14,-1.7842673326306194e-15,1.1472577057430385e-14,7.713646889847378e-15,-3.124322754048658e-15,1.35941619155222e-14,-1.3425686964870006e-14,1.309149575819383e-14,1.3194687081257669e-14,7.61975126704199e-15,-2.153296908363398e-15,1.196366093091177e-14,3.616756781663526e-15,6.039209775898046e-15,1.0373459358780623e-14,1.3680889903839559e-14,7.537879461655084e-15,7.320423514903583e-15,6.424956614963765e-15,1.9995599745417626e-14,3.469636499146958e-15,8.604744359626282e-15,1.1728076683448458e-14,5.2294165175517295e-15,-5.049751592075597e-15,4.435231261784184e-15,1.2638279552503424e-14,1.3617511448042307e-14,2.9962996164199734e-14,7.317087285031941e-15,1.3230005559556843e-14,-1.4297760775358982e-14,1.1598730957305996e-14,1.3579647176037422e-14,0.008182846257576828,7.136670581986887e-05,2.378399298091361e-07,4.209400974134109e-12,2.661783979533443e-07,1.5387744856628538e-13,1.2564981616283676e-14,1.2148778782659086e-14,1.3615877056894944e-14,4.376778063767605e-15,6.928599293318415e-15,5.895179265282986e-15,6.868874451097261e-15,0.00016945053244458985,1.3707377370005684e-14,9.623021029963956e-12,2.574547844204435e-11,1.3599678020395265e-14,1.1331216080862826e-07,1.3528416047359196e-14,-2.37154608626915e-14,3.923437078626752e-15,8.56284351611856e-15,5.1207900543992076e-15,3.3730762448886064e-15,8.204671528251697e-15,3.0326959072021207e-15,-1.2685376006965925e-15,-1.962727747788992e-14,4.221855881295226e-15,-1.5443931730818224e-14
